geometry,original_line_id,type,censored,f_set,length,id,b_group
"LINESTRING Z (-72.52239129511409 -10.462637958681631 0, -69.80339826028127 -7.00899916857437 0)",1,fracture,1,1,4.3955,,-9999
"LINESTRING Z (-69.80339826028127 -7.00899916857437 0, -68.43596067231391 -5.27209310211762 0)",2,fracture,0,1,2.2106,,-9999
"LINESTRING Z (-68.43596067231391 -5.27209310211762 0, -67.48632616665792 -4.065876490621402 0)",3,fracture,0,1,1.5352,,-9999
"LINESTRING Z (-67.48632616665792 -4.065876490621402 0, -66.85971544644954 -3.269961583196206 0)",4,fracture,0,1,1.013,,-9999
"LINESTRING Z (-66.85971544644954 -3.269961583196206 0, -64.09483418738702 0.241963987781209 0)",5,fracture,0,1,4.4697,,-9999
"LINESTRING Z (-64.09483418738702 0.241963987781209 0, -62.7136800010194 1.996292745541918 0)",6,fracture,0,1,2.2328,,-9999
"LINESTRING Z (-62.7136800010194 1.996292745541918 0, -61.97103525676482 2.9395929538061836 0)",7,fracture,0,1,1.2006,,-9999
"LINESTRING Z (-61.97103525676482 2.9395929538061836 0, -60.29085705188964 5.0737391426015845 0)",8,fracture,0,1,2.7162,,-9999
"LINESTRING Z (-60.29085705188964 5.0737391426015845 0, -58.822524743127026 6.9388007125817 0, -58.77619835581674 6.9976440439807375 0)",9,fracture,0,1,2.4486,,-9999
"LINESTRING Z (-58.77619835581674 6.9976440439807375 0, -57.44123703925016 8.693299062997914 0)",10,fracture,0,1,2.1581,,-9999
"LINESTRING Z (-57.44123703925016 8.693299062997914 0, -56.22231726032582 10.241559237478597 0, -56.170838586651904 10.306946953440312 0)",11,fracture,0,1,2.0537,,-9999
"LINESTRING Z (-56.170838586651904 10.306946953440312 0, -54.31666424881414 12.662101356096464 0)",12,fracture,0,1,2.9975,,-9999
"LINESTRING Z (-54.31666424881414 12.662101356096464 0, -53.10090961713296 14.206341191004627 0)",13,fracture,0,1,1.9654,,-9999
"LINESTRING Z (-53.10090961713296 14.206341191004627 0, -52.15789555844346 15.404148574467387 0)",14,fracture,0,1,1.5245,,-9999
"LINESTRING Z (-52.15789555844346 15.404148574467387 0, -49.41927995827665 18.88271175824932 0)",15,fracture,1,1,4.4272,,-9999
"LINESTRING Z (-67.90428714310167 -9.54553068357748 0, -67.2504984776001 -8.715094611552935 0)",16,fracture,1,1,1.0569,,-9999
"LINESTRING Z (-67.2504984776001 -8.715094611552935 0, -65.84461969803009 -6.929360913411927 0)",17,fracture,0,1,2.2727,,-9999
"LINESTRING Z (-65.84461969803009 -6.929360913411927 0, -65.01013964172604 -5.8694123754416045 0)",18,fracture,0,1,1.349,,-9999
"LINESTRING Z (-65.01013964172604 -5.8694123754416045 0, -64.29958389303401 -4.966871300573651 0)",19,fracture,0,1,1.1487,,-9999
"LINESTRING Z (-64.29958389303401 -4.966871300573651 0, -63.777222156819185 -4.303372449510865 0)",20,fracture,0,1,0.8444,,-9999
"LINESTRING Z (-63.777222156819185 -4.303372449510865 0, -63.68714612468529 -4.188958740225395 0)",21,fracture,0,1,0.1456,,-9999
"LINESTRING Z (-63.68714612468529 -4.188958740225395 0, -63.421695920263446 -3.851786444787884 0)",22,fracture,0,1,0.4291,,-9999
"LINESTRING Z (-63.421695920263446 -3.851786444787884 0, -63.15643170752127 -3.514850394192242 0)",23,fracture,0,1,0.4288,,-9999
"LINESTRING Z (-63.15643170752127 -3.514850394192242 0, -62.884163837508815 -3.169018365522586 0)",24,fracture,0,1,0.4401,,-9999
"LINESTRING Z (-62.884163837508815 -3.169018365522586 0, -62.49307788595152 -2.672264752967882 0)",25,fracture,0,1,0.6322,,-9999
"LINESTRING Z (-62.49307788595152 -2.672264752967882 0, -57.63987597748651 3.4922256126089164 0)",26,fracture,0,1,7.8457,,-9999
"LINESTRING Z (-57.63987597748651 3.4922256126089164 0, -56.095120567599416 5.454359070277788 0)",27,fracture,0,1,2.4972,,-9999
"LINESTRING Z (-56.095120567599416 5.454359070277788 0, -55.02871069417787 6.808902630272045 0)",28,fracture,0,1,1.724,,-9999
"LINESTRING Z (-55.02871069417787 6.808902630272045 0, -53.603900660133355 8.618682625685942 0)",29,fracture,0,1,2.3033,,-9999
"LINESTRING Z (-53.603900660133355 8.618682625685942 0, -53.118551141467485 9.23516891415759 0)",30,fracture,0,1,0.7846,,-9999
"LINESTRING Z (-53.118551141467485 9.23516891415759 0, -53.111326740384094 9.24434527889897 0, -51.30415386603476 11.539798874890336 0)",31,fracture,0,1,2.9331,,-9999
"LINESTRING Z (-51.30415386603476 11.539798874890336 0, -50.54024061154685 12.510114140202791 0)",32,fracture,0,1,1.2349,,-9999
"LINESTRING Z (-50.54024061154685 12.510114140202791 0, -49.47103132498408 13.868213487832469 0)",33,fracture,0,1,1.7285,,-9999
"LINESTRING Z (-49.47103132498408 13.868213487832469 0, -48.700248410141945 14.847254529625507 0)",34,fracture,0,1,1.246,,-9999
"LINESTRING Z (-48.700248410141945 14.847254529625507 0, -47.546408858642884 16.312850425446587 0)",35,fracture,0,1,1.8653,,-9999
"LINESTRING Z (-47.546408858642884 16.312850425446587 0, -45.90588251032779 18.39663120757808 0)",36,fracture,0,1,2.6521,,-9999
"LINESTRING Z (-45.90588251032779 18.39663120757808 0, -43.9241318651421 20.913831808260834 0)",37,fracture,0,1,3.2037,,-9999
"LINESTRING Z (-43.9241318651421 20.913831808260834 0, -43.856944277167464 20.999172836012754 0, -43.74807635490513 21.137455823319748 0)",38,fracture,0,1,0.2846,,-9999
"LINESTRING Z (-43.74807635490513 21.137455823319748 0, -43.69127211000648 21.209608028607313 0)",39,fracture,0,1,0.0918,,-9999
"LINESTRING Z (-43.69127211000648 21.209608028607313 0, -43.45392698273923 21.511081525476165 0)",40,fracture,0,1,0.3837,,-9999
"LINESTRING Z (-43.45392698273923 21.511081525476165 0, -42.73105579746491 22.429265549389164 0, -42.72474167183301 22.437285691010924 0, -42.724419034777526 22.437695501494318 0)",41,fracture,0,1,1.1793,,-9999
"LINESTRING Z (-42.724419034777526 22.437695501494318 0, -42.242304668315505 23.05007253076597 0)",42,fracture,0,1,0.7794,,-9999
"LINESTRING Z (-42.242304668315505 23.05007253076597 0, -41.51195661640091 23.977753598741415 0)",43,fracture,0,1,1.1807,,-9999
"LINESTRING Z (-41.51195661640091 23.977753598741415 0, -41.43829358744673 24.071319669317464 0)",44,fracture,0,1,0.1191,,-9999
"LINESTRING Z (-41.43829358744673 24.071319669317464 0, -41.04446786044139 24.57155331828357 0)",45,fracture,1,1,0.6367,,-9999
"LINESTRING Z (-40.15853106010994 25.696861717389613 0, -39.326708359139424 26.753434908184925 0)",46,fracture,1,1,1.3447,,-9999
"LINESTRING Z (-39.326708359139424 26.753434908184925 0, -39.14186976044575 26.988215117688764 0)",47,fracture,1,1,0.2988,,-9999
"LINESTRING Z (-64.08294180611368 -9.64045878873223 0, -63.30163331392566 -8.64804825987383 0)",48,fracture,1,1,1.2631,,-9999
"LINESTRING Z (-63.30163331392566 -8.64804825987383 0, -62.59657620535791 -7.752491504782631 0)",49,fracture,0,1,1.1398,,-9999
"LINESTRING Z (-62.59657620535791 -7.752491504782631 0, -61.42703093007096 -6.266946349730028 0)",50,fracture,0,1,1.8907,,-9999
"LINESTRING Z (-61.42703093007096 -6.266946349730028 0, -61.09633961456953 -5.846905422763265 0)",51,fracture,0,1,0.5346,,-9999
"LINESTRING Z (-61.09633961456953 -5.846905422763265 0, -60.87366253754319 -5.564063142171262 0)",52,fracture,0,1,0.36,,-9999
"LINESTRING Z (-60.87366253754319 -5.564063142171262 0, -60.18731735897182 -4.692274100511245 0)",53,fracture,0,1,1.1095,,-9999
"LINESTRING Z (-60.18731735897182 -4.692274100511245 0, -59.60382673621176 -3.951129925954033 0)",54,fracture,0,1,0.9433,,-9999
"LINESTRING Z (-59.60382673621176 -3.951129925954033 0, -58.04613469449827 -1.9725644830183366 0)",55,fracture,0,1,2.5182,,-9999
"LINESTRING Z (-58.04613469449827 -1.9725644830183366 0, -57.27451386583553 -0.9924591311529489 0)",56,fracture,0,1,1.2474,,-9999
"LINESTRING Z (-57.27451386583553 -0.9924591311529489 0, -57.00200596917639 -0.6463222229462653 0)",57,fracture,0,1,0.4405,,-9999
"LINESTRING Z (-57.00200596917639 -0.6463222229462653 0, -55.64021101600152 1.0834166230917086 0)",58,fracture,0,1,2.2015,,-9999
"LINESTRING Z (-55.64021101600152 1.0834166230917086 0, -55.5337892165881 1.2185925686931305 0, -55.49611881672261 1.2664411481295665 0)",59,fracture,0,1,0.2329,,-9999
"LINESTRING Z (-55.49611881672261 1.2664411481295665 0, -54.773336352263726 2.184512479716485 0)",60,fracture,0,1,1.1684,,-9999
"LINESTRING Z (-54.773336352263726 2.184512479716485 0, -54.230891997034696 2.8735200802118253 0)",61,fracture,0,1,0.8769,,-9999
"LINESTRING Z (-54.230891997034696 2.8735200802118253 0, -54.209399121758 2.900820123579206 0, -52.361686211411794 5.247767283208822 0)",62,fracture,0,1,3.0218,,-9999
"LINESTRING Z (-52.361686211411794 5.247767283208822 0, -51.00089963614572 6.976225297329881 0)",63,fracture,0,1,2.1998,,-9999
"LINESTRING Z (-51.00089963614572 6.976225297329881 0, -48.08051922949984 10.685664389321364 0)",64,fracture,0,1,4.7211,,-9999
"LINESTRING Z (-48.08051922949984 10.685664389321364 0, -46.7756401300536 12.343109265609858 0)",65,fracture,0,1,2.1095,,-9999
"LINESTRING Z (-46.7756401300536 12.343109265609858 0, -43.287294862321254 16.773971859072983 0)",66,fracture,0,1,5.6392,,-9999
"LINESTRING Z (-43.287294862321254 16.773971859072983 0, -41.444770867517754 19.114328108109127 0)",67,fracture,0,1,2.9786,,-9999
"LINESTRING Z (-41.444770867517754 19.114328108109127 0, -40.18576765396576 20.713501875562418 0)",68,fracture,0,1,2.0353,,-9999
"LINESTRING Z (-40.18576765396576 20.713501875562418 0, -39.68384334306179 21.35104130564867 0, -39.66637519844794 21.37322917485493 0, -39.62687720397669 21.423399147374088 0)",69,fracture,0,1,0.9035,,-9999
"LINESTRING Z (-39.62687720397669 21.423399147374088 0, -38.225789917387765 23.203046737235297 0)",70,fracture,0,1,2.265,,-9999
"LINESTRING Z (-38.225789917387765 23.203046737235297 0, -36.84637014529074 24.95517245867839 0)",71,fracture,0,1,2.23,,-9999
"LINESTRING Z (-36.84637014529074 24.95517245867839 0, -36.68361892215546 25.161897496277454 0)",72,fracture,0,1,0.2631,,-9999
"LINESTRING Z (-36.68361892215546 25.161897496277454 0, -36.528374653749125 25.359087272213348 0)",73,fracture,0,1,0.251,,-9999
"LINESTRING Z (-36.528374653749125 25.359087272213348 0, -35.51681685303084 26.64395825725839 0)",74,fracture,0,1,1.6353,,-9999
"LINESTRING Z (-35.51681685303084 26.64395825725839 0, -34.519461386554234 27.91078957400758 0)",75,fracture,0,1,1.6123,,-9999
"LINESTRING Z (-34.519461386554234 27.91078957400758 0, -33.7978087057799 28.827425865229404 0)",76,fracture,0,1,1.1666,,-9999
"LINESTRING Z (-33.7978087057799 28.827425865229404 0, -32.47002632892575 30.513962264101146 0)",77,fracture,0,1,2.1465,,-9999
"LINESTRING Z (-32.47002632892575 30.513962264101146 0, -31.38216597591443 31.89575201686919 0)",78,fracture,0,1,1.7586,,-9999
"LINESTRING Z (-31.38216597591443 31.89575201686919 0, -30.86178442140481 32.556735660183755 0)",79,fracture,0,1,0.8412,,-9999
"LINESTRING Z (-30.86178442140481 32.556735660183755 0, -30.844907088911974 32.57817308551882 0, -30.804497297734418 32.629501213440825 0)",80,fracture,0,1,0.0926,,-9999
