type;n_type;n_index;n_origin;geometry;og_line_id
node;1;36;[1];POINT Z (410099.6155411596 5081026.823589069 0);12
node;1;47;[1];POINT Z (410098.68361647875 5081029.036378642 0);14
node;1;54;[1];POINT Z (410099.9387379894 5081028.404337476 0);18
node;1;55;[1];POINT Z (410099.02868375793 5081027.5963453995 0);19
node;1;66;[1];POINT Z (410100.2218389722 5081025.802967502 0);20
node;1;77;[1];POINT Z (410101.53345919005 5081028.1783427 0);25
node;1;78;[1];POINT Z (410099.35370312654 5081027.760373868 0);26
node;1;97;[1];POINT Z (410103.550401813 5081027.060519079 0);30
node;1;98;[1];POINT Z (410100.4447961839 5081025.657164418 0);31
node;1;111;[1];POINT Z (410103.75756369065 5081025.073952094 0);32
node;1;122;[1];POINT Z (410102.4222504721 5081028.116376391 0);35
node;1;123;[1];POINT Z (410101.49093329103 5081028.483314144 0);36
node;1;140;[1];POINT Z (410097.54088481714 5081029.00942026 0);39
node;1;163;[1];POINT Z (410103.7356932282 5081025.332752561 0);40
node;1;164;[1];POINT Z (410101.5911729095 5081027.57082986 0);41
node;1;168;[1];POINT Z (410102.0498451023 5081027.630366118 0);43
node;1;184;[1];POINT Z (410104.9331010324 5081025.7701618085 0);46
node;1;185;[1];POINT Z (410101.24914318125 5081027.82963033 0);47
node;1;187;[1];POINT Z (410101.75094878545 5081027.681397198 0);48
node;1;193;[1];POINT Z (410102.41739036894 5081027.535594119 0);51
node;1;194;[1];POINT Z (410102.44047585677 5081027.7166329445 0);52
node;1;199;[1];POINT Z (410102.7345120705 5081027.451149834 0);57
node;1;200;[1];POINT Z (410102.75911634055 5081027.570222351 0);58
node;1;215;[1];POINT Z (410102.7685327895 5081027.384019664 0);63
node;1;225;[1];POINT Z (410105.4127324177 5081026.594860488 0);66
node;1;231;[1];POINT Z (410105.7152738112 5081026.310544477 0);69
node;1;232;[1];POINT Z (410105.69097329775 5081026.294141631 0);70
node;1;236;[1];POINT Z (410106.08767918096 5081026.047491418 0);72
node;1;237;[1];POINT Z (410104.3070590519 5081026.723045695 0);73
node;1;244;[1];POINT Z (410104.5169547374 5081026.672318372 0);75
node;1;247;[1];POINT Z (410104.9142681335 5081026.182663024 0);76
node;1;248;[1];POINT Z (410100.80383627024 5081025.927507632 0);77
node;1;259;[1];POINT Z (410102.88882033096 5081025.45607767 0);79
node;1;265;[1];POINT Z (410099.58395049116 5081024.724632211 0);82
node;1;278;[1];POINT Z (410100.609432162 5081024.674816159 0);85
node;1;295;[1];POINT Z (410100.82084662974 5081024.299373223 0);87
node;1;296;[1];POINT Z (410103.64031371195 5081028.6418749895 0);88
node;1;306;[1];POINT Z (410105.6888470023 5081027.310206848 0);93
node;1;315;[1];POINT Z (410106.59282610565 5081026.901958221 0);98
node;1;316;[1];POINT Z (410104.1275390083 5081027.594522853 0);99
node;1;326;[1];POINT Z (410105.69461837446 5081026.784708239 0);102
node;1;334;[1];POINT Z (410106.2074135286 5081028.012648925 0);105
node;1;339;[1];POINT Z (410106.95604659605 5081027.537832614 0);107
node;1;358;[1];POINT Z (410107.5632578222 5081025.928030801 0);115
node;1;369;[1];POINT Z (410108.6007525236 5081025.727031246 0);118
node;1;375;[1];POINT Z (410106.7481263996 5081023.828066902 0);121
node;1;388;[1];POINT Z (410108.67868498515 5081023.530780138 0);124
node;1;389;[1];POINT Z (410107.39686148544 5081024.261359354 0);125
node;1;396;[1];POINT Z (410108.62813419936 5081023.299690831 0);126
node;1;401;[1];POINT Z (410101.88712671946 5081028.661083115 0);129
node;1;402;[1];POINT Z (410100.7389017254 5081029.2126282975 0);130
node;1;407;[1];POINT Z (410101.2305682978 5081028.875021263 0);132
node;1;408;[1];POINT Z (410101.5218371118 5081028.987556942 0);133
node;1;412;[1];POINT Z (410101.99544983223 5081028.898491272 0);135
node;1;431;[1];POINT Z (410108.7758748892 5081022.882345956 0);137
node;1;432;[1];POINT Z (410108.0001610435 5081023.250042744 0);138
node;1;438;[1];POINT Z (410108.45632170676 5081023.227174532 0);139
node;1;447;[1];POINT Z (410107.5572398719 5081028.720359933 0);142
node;1;461;[1];POINT Z (410107.57950628974 5081028.091484086 0);147
node;1;470;[1];POINT Z (410105.388972234 5081027.841137338 0);151
node;1;471;[1];POINT Z (410105.55025331274 5081027.671431127 0);152
node;1;473;[1];POINT Z (410106.06057553244 5081026.584589233 0);154
node;1;475;[1];POINT Z (410106.3000899704 5081026.357110696 0);155
node;1;476;[1];POINT Z (410107.62343733 5081022.615750747 0);156
node;1;482;[1];POINT Z (410108.64287817915 5081021.865914089 0);157
node;1;483;[1];POINT Z (410107.43627906335 5081022.182458294 0);158
node;1;486;[1];POINT Z (410107.9670623152 5081021.950165396 0);159
node;1;487;[1];POINT Z (410108.4387192017 5081022.3529167455 0);160
node;1;493;[1];POINT Z (410109.3132778875 5081021.965210273 0);161
node;1;494;[1];POINT Z (410107.57649731456 5081022.761986946 0);162
node;1;502;[1];POINT Z (410108.7223151284 5081022.400909903 0);163
node;1;503;[1];POINT Z (410108.95084680646 5081022.870460507 0);164
node;1;513;[1];POINT Z (410100.1219113302 5081023.678671286 0);166
node;1;521;[1];POINT Z (410100.6430658611 5081023.4656358315 0);168
node;1;522;[1];POINT Z (410100.7333351216 5081023.594419978 0);169
node;1;523;[1];POINT Z (410101.08357985254 5081023.4451748 0);170
node;1;524;[1];POINT Z (410100.80555053 5081023.44637839 0);171
node;1;526;[1];POINT Z (410101.08237626235 5081023.265839869 0);172
node;1;530;[1];POINT Z (410100.5112727406 5081023.793614146 0);175
node;1;533;[1];POINT Z (410100.64607483643 5081023.675662313 0);177
node;1;534;[1];POINT Z (410099.9479925548 5081023.913371365 0);178
node;1;537;[1];POINT Z (410100.2645367618 5081023.741257975 0);179
node;1;538;[1];POINT Z (410099.70486734645 5081024.142053491 0);180
node;1;541;[1];POINT Z (410100.0286330943 5081023.936239578 0);181
node;1;542;[1];POINT Z (410100.4185962998 5081023.786994401 0);182
node;1;545;[1];POINT Z (410101.00293931295 5081023.842961343 0);185
node;1;550;[1];POINT Z (410101.1208911468 5081023.469848399 0);186
node;1;565;[1];POINT Z (410111.14258445264 5081032.319846702 0);188
node;1;572;[1];POINT Z (410109.24452280096 5081032.845815596 0);192
node;1;584;[1];POINT Z (410109.1560589257 5081024.158001062 0);194
node;1;585;[1];POINT Z (410108.8975879431 5081024.46973091 0);195
node;1;589;[1];POINT Z (410109.17561726563 5081024.242252373 0);197
node;1;590;[1];POINT Z (410109.0179469571 5081024.541344523 0);198
node;1;593;[1];POINT Z (410109.2610721655 5081024.411356788 0);199
node;1;594;[1];POINT Z (410106.5325333173 5081033.509294665 0);200
node;1;635;[1];POINT Z (410102.0855686459 5081032.659860928 0);211
node;1;645;[1];POINT Z (410107.6506685589 5081033.709993331 0);215
node;1;655;[1];POINT Z (410108.17663745023 5081032.962563854 0);219
node;1;656;[1];POINT Z (410105.3451916445 5081033.805076949 0);220
node;1;664;[1];POINT Z (410106.31769247813 5081033.427149645 0);222
node;1;665;[1];POINT Z (410105.6846040641 5081033.761747705 0);223
node;1;669;[1];POINT Z (410103.82024293626 5081033.814705669 0);225
node;1;670;[1];POINT Z (410103.5482315644 5081034.00848368 0);226
node;1;672;[1];POINT Z (410103.8262608869 5081033.873681584 0);227
node;1;673;[1];POINT Z (410103.23048376717 5081034.364746362 0);228
node;1;678;[1];POINT Z (410104.162062536 5081033.963950845 0);229
node;1;679;[1];POINT Z (410102.23150395055 5081033.3236408895 0);230
node;1;682;[1];POINT Z (410102.83570620115 5081033.259850612 0);231
node;1;688;[1];POINT Z (410103.911715787 5081034.349701484 0);233
node;1;696;[1];POINT Z (410104.59294780664 5081034.171570143 0);236
node;1;698;[1];POINT Z (410107.5273005704 5081033.938675452 0);238
node;1;702;[1];POINT Z (410107.59109084785 5081033.896549798 0);241
node;1;719;[1];POINT Z (410105.20136262366 5081034.736053924 0);248
node;1;720;[1];POINT Z (410104.7280508007 5081035.339052587 0);249
node;1;730;[1];POINT Z (410105.63254879153 5081034.817296261 0);252
node;1;741;[1];POINT Z (410105.5501028667 5081035.117291104 0);256
node;1;742;[1];POINT Z (410104.49094354326 5081035.817178768 0);257
node;1;747;[1];POINT Z (410104.9952478121 5081035.518688413 0);260
node;1;819;[1];POINT Z (410126.66769367986 5081023.150596133 0);269
node;1;873;[1];POINT Z (410105.2702681598 5081034.179694383 0);292
node;1;874;[1];POINT Z (410106.8972211328 5081035.767229775 0);293
node;1;876;[1];POINT Z (410106.75038313563 5081036.284773535 0);295
node;1;877;[1];POINT Z (410107.09460991586 5081035.820187741 0);296
node;1;878;[1];POINT Z (410107.68797985517 5081035.566230222 0);297
node;1;884;[1];POINT Z (410107.57453514787 5081035.848771684 0);300
node;1;886;[1];POINT Z (410107.8113478446 5081035.646870761 0);302
node;1;896;[1];POINT Z (410108.08666908956 5081036.015771146 0);307
node;1;917;[1];POINT Z (410108.4673044719 5081036.602822237 0);312
node;1;933;[1];POINT Z (410102.9235682843 5081039.4860224165 0);317
node;1;934;[1];POINT Z (410109.8442115929 5081034.81007472 0);318
node;1;978;[1];POINT Z (410110.92623912997 5081036.7538728025 0);330
node;1;986;[1];POINT Z (410109.43017658533 5081038.450333105 0);334
node;1;987;[1];POINT Z (410110.5964554318 5081038.606799825 0);335
node;1;997;[1];POINT Z (410106.4520432318 5081039.298939383 0);338
node;1;1012;[1];POINT Z (410108.5775834202 5081039.010077748 0);340
node;1;1013;[1];POINT Z (410107.9733811695 5081038.9932274865 0);341
node;1;1016;[1];POINT Z (410108.62572702573 5081038.894533095 0);342
node;1;1057;[1];POINT Z (410105.50082071265 5081038.335078626 0);355
node;1;1061;[1];POINT Z (410105.4072637354 5081038.686221046 0);357
node;1;1095;[1];POINT Z (410107.7115599307 5081040.413987554 0);365
node;1;1096;[1];POINT Z (410106.83309636667 5081041.147863061 0);366
node;1;1106;[1];POINT Z (410107.1222724778 5081040.845625423 0);372
node;1;1109;[1];POINT Z (410107.2434712888 5081040.76361119 0);373
node;1;1112;[1];POINT Z (410107.10374333605 5081040.698607316 0);375
node;1;1114;[1];POINT Z (410107.1547744145 5081040.877823603 0);377
node;1;1115;[1];POINT Z (410106.345567314 5081041.478046288 0);378
node;1;1123;[1];POINT Z (410107.20823554415 5081041.379629209 0);379
node;1;1148;[1];POINT Z (410101.25157216593 5081040.549766676 0);387
node;1;1149;[1];POINT Z (410100.0207511557 5081041.358973777 0);388
node;1;1152;[1];POINT Z (410100.7157458426 5081040.870533454 0);389
node;1;1153;[1];POINT Z (410100.8445385644 5081040.690709654 0);390
node;1;1154;[1];POINT Z (410101.0012768766 5081040.5327563165 0);391
node;1;1155;[1];POINT Z (410099.59670719446 5081040.82162867 0);392
node;1;1159;[1];POINT Z (410099.40017679136 5081040.803707041 0);394
node;1;1168;[1];POINT Z (410101.33905401395 5081042.619866676 0);397
node;1;1180;[1];POINT Z (410098.94970602077 5081047.887610496 0);401
node;1;1185;[1];POINT Z (410099.950887178 5081047.677411054 0);402
node;1;1186;[1];POINT Z (410099.3749650075 5081047.478146844 0);403
node;1;1193;[1];POINT Z (410097.9254393755 5081047.717506901 0);405
node;1;1195;[1];POINT Z (410098.22069061483 5081047.644605361 0);406
node;1;1196;[1];POINT Z (410099.65685096435 5081047.031017394 0);407
node;1;1200;[1];POINT Z (410099.97397266596 5081046.898579596 0);408
node;1;1201;[1];POINT Z (410099.3044935182 5081046.9398904685 0);409
node;1;1204;[1];POINT Z (410099.79779394285 5081046.7430563085 0);410
node;1;1205;[1];POINT Z (410100.60457099206 5081047.847514647 0);411
node;1;1238;[1];POINT Z (410100.4891435527 5081046.48668589 0);418
node;1;1239;[1];POINT Z (410097.23651981703 5081046.707820563 0);419
node;1;1245;[1];POINT Z (410097.26932551025 5081046.771001899 0);421
