geometry,original_line_id,type,censored,f_set,length,id,Area,b_group
"LINESTRING Z (-27.784500088920197 -9.464538047982735 0, -28.65653188488815 -8.041027995594588 0)",1,fracture,1,2,1.6694,,,-9999
"LINESTRING Z (-26.812126290796627 -9.69826363201451 0, -27.253320849720705 -8.97805492793824 0)",2,fracture,1,2,0.8446,,,-9999
"LINESTRING Z (-27.253320849720705 -8.97805492793824 0, -27.50732071747043 -8.563423985902856 0)",3,fracture,0,2,0.4862,,,-9999
"LINESTRING Z (-27.50732071747043 -8.563423985902856 0, -27.829935882173416 -8.036785012265668 0)",4,fracture,0,2,0.6176,,,-9999
"LINESTRING Z (-27.829935882173416 -8.036785012265668 0, -28.1040742065403 -7.589279930128224 0, -28.1040742065403 -7.589279930128224 0, -28.1040742065403 -7.589279930128223 0)",5,fracture,1,2,0.5248,,,-9999
"LINESTRING Z (-23.097077713767202 -14.409148347463342 0, -24.330488301758837 -12.39572133844107 0)",6,fracture,1,2,2.3612,,,-9999
"LINESTRING Z (-25.828859403660545 -9.949771161363607 0, -26.785369187220322 -8.388358723880655 0, -26.785369187220322 -8.388358723880655 0, -26.785877098743782 -8.387529605994457 0)",7,fracture,1,2,1.8321,,,-9999
"LINESTRING Z (-26.785877098743782 -8.387529605994457 0, -27.362851537238278 -7.445672993694838 0)",8,fracture,0,2,1.1045,,,-9999
"LINESTRING Z (-27.362851537238278 -7.445672993694838 0, -27.453664831057107 -7.29742881585716 0)",9,fracture,1,2,0.1738,,,-9999
"LINESTRING Z (-21.890228787296575 -15.025632569173618 0, -21.89022878729658 -15.025632569173611 0, -21.89022878729658 -15.025632569173611 0, -21.909711839665427 -14.993828314986445 0)",10,fracture,1,2,0.0373,,,-9999
"LINESTRING Z (-21.97442113641581 -14.888196462073456 0, -23.57584287944189 -12.27402578635837 0)",11,fracture,1,2,3.0657,,,-9999
"LINESTRING Z (-24.40823708393608 -10.91522038141111 0, -24.52280535567241 -10.728198431918578 0, -24.52280535567241 -10.728198431918578 0, -24.52280535567241 -10.728198431918576 0)",12,fracture,1,2,0.2193,,,-9999
"LINESTRING Z (-24.963911363497502 -10.008134279199421 0, -25.602556459873252 -8.965606106714425 0)",13,fracture,1,2,1.2226,,,-9999
"LINESTRING Z (-25.602556459873252 -8.965606106714425 0, -25.952601849915915 -8.394189864988103 0)",14,fracture,0,2,0.6701,,,-9999
"LINESTRING Z (-25.952601849915915 -8.394189864988103 0, -26.1161339783241 -8.127239015542203 0)",15,fracture,0,2,0.3131,,,-9999
"LINESTRING Z (-26.1161339783241 -8.127239015542203 0, -27.174552183481136 -6.39947064558355 0)",16,fracture,1,2,2.0262,,,-9999
"LINESTRING Z (-27.174552183481136 -6.39947064558355 0, -27.174552183481147 -6.399470645583534 0, -27.174552183481147 -6.399470645583534 0, -27.175934249930833 -6.397214551834092 0, -27.175934249930833 -6.397214551834092 0, -27.175934249930837 -6.397214551834088 0)",17,fracture,1,2,0.0026,,,-9999
"LINESTRING Z (-27.175934249930837 -6.397214551834088 0, -27.20638550664737 -6.3475057335957334 0)",18,fracture,1,2,0.0583,,,-9999
