geometry,original_line_id,type,censored,f_set,length,id,b_group
"LINESTRING Z (-56.62895808881495 14.673810013040029 0, -56.34729934953473 15.031570233492626 0)",1,fracture,1,1,0.4553,,-9999
"LINESTRING Z (-56.34729934953473 15.031570233492626 0, -53.29624997239708 18.906983794477735 0)",2,fracture,0,1,4.9323,,-9999
"LINESTRING Z (-53.29624997239708 18.906983794477735 0, -50.42497811561534 22.55404567896484 0)",3,fracture,1,1,4.6417,,-9999
"LINESTRING Z (-66.9809895626821 -3.424004937974454 0, -66.17715839948593 -2.4029863291194986 0)",4,fracture,1,1,1.2995,,-9999
"LINESTRING Z (-66.17715839948593 -2.4029863291194986 0, -62.51168449446568 2.2528633550567765 0)",5,fracture,0,1,5.9256,,-9999
"LINESTRING Z (-62.51168449446568 2.2528633550567765 0, -62.09114003739935 2.7870348778529643 0)",6,fracture,0,1,0.6799,,-9999
"LINESTRING Z (-62.09114003739935 2.7870348778529643 0, -61.807239770637025 3.1476422649448725 0)",7,fracture,0,1,0.459,,-9999
"LINESTRING Z (-61.807239770637025 3.1476422649448725 0, -60.46104400185501 4.857567177065769 0)",8,fracture,0,1,2.1763,,-9999
"LINESTRING Z (-60.46104400185501 4.857567177065769 0, -57.16246358302622 9.047392285409893 0)",9,fracture,0,1,5.3325,,-9999
"LINESTRING Z (-57.16246358302622 9.047392285409893 0, -55.047884775130825 11.733309940265285 0)",10,fracture,0,1,3.4184,,-9999
"LINESTRING Z (-55.047884775130825 11.733309940265285 0, -53.86975226259788 13.229762521439511 0)",11,fracture,0,1,1.9046,,-9999
"LINESTRING Z (-53.86975226259788 13.229762521439511 0, -52.164737855410245 15.395455415432886 0)",12,fracture,0,1,2.7563,,-9999
"LINESTRING Z (-52.164737855410245 15.395455415432886 0, -50.36295331359514 17.684064803286983 0)",13,fracture,0,1,2.9128,,-9999
"LINESTRING Z (-50.36295331359514 17.684064803286983 0, -47.61969991184284 21.168518878016883 0)",14,fracture,0,1,4.4347,,-9999
"LINESTRING Z (-47.61969991184284 21.168518878016883 0, -42.66173707461193 27.466075567279873 0)",15,fracture,0,1,8.015,,-9999
"LINESTRING Z (-42.66173707461193 27.466075567279873 0, -42.51572513017308 27.65153853414768 0)",16,fracture,0,1,0.236,,-9999
"LINESTRING Z (-42.51572513017308 27.65153853414768 0, -42.21280087738678 28.03631000523434 0)",17,fracture,1,1,0.4897,,-9999
"LINESTRING Z (-64.86244937868865 -5.681819763704427 0, -64.21978452168972 -4.865513046204237 0)",18,fracture,1,1,1.0389,,-9999
"LINESTRING Z (-63.28846977138058 -3.682566011672952 0, -63.10153650652382 -3.445125177364085 0)",19,fracture,1,1,0.3022,,-9999
"LINESTRING Z (-63.10153650652382 -3.445125177364085 0, -60.021962703234394 0.4665198352508347 0)",20,fracture,0,1,4.9784,,-9999
"LINESTRING Z (-60.021962703234394 0.4665198352508347 0, -59.91939121150743 0.5968051570774028 0)",21,fracture,0,1,0.1658,,-9999
"LINESTRING Z (-59.91939121150743 0.5968051570774028 0, -59.62479430827866 0.9709993088836449 0)",22,fracture,0,1,0.4762,,-9999
"LINESTRING Z (-59.62479430827866 0.9709993088836449 0, -56.3502820330163 5.130253292858573 0)",23,fracture,0,1,5.2936,,-9999
"LINESTRING Z (-56.3502820330163 5.130253292858573 0, -56.27777227256266 5.222354492882235 0, -56.09491253207374 5.454621175735389 0)",24,fracture,0,1,0.4128,,-9999
"LINESTRING Z (-56.09491253207374 5.454621175735389 0, -55.52690913191922 6.17609362916045 0)",25,fracture,0,1,0.9182,,-9999
"LINESTRING Z (-55.52690913191922 6.17609362916045 0, -54.555310503382316 7.4102088581964765 0)",26,fracture,0,1,1.5707,,-9999
"LINESTRING Z (-54.555310503382316 7.4102088581964765 0, -51.293814306401636 11.552929944781516 0)",27,fracture,0,1,5.2725,,-9999
"LINESTRING Z (-51.293814306401636 11.552929944781516 0, -49.31625406499808 14.064807934901166 0)",28,fracture,0,1,3.1969,,-9999
"LINESTRING Z (-49.31625406499808 14.064807934901166 0, -42.2728463562893 23.011276633315013 0)",29,fracture,0,1,11.3863,,-9999
