,ab,U-nodes,length
0,ab,1,1.661614124
1,ab,1,2.873283211
2,ab,0,3.356360912
3,ab,0,0.898060371
4,ab,1,0.704434431
5,ab,0,2.198033625
6,ab,0,1.639751773
7,ab,0,4.287019019
8,ab,0,3.374374284
9,ab,0,1.099974113
10,ab,0,1.281269758
11,ab,0,0.50542188
12,ab,0,4.974160456
13,ab,0,0.65439556
14,ab,0,0.712601614
15,ab,0,2.683843376
16,ab,0,0.523291588
17,ab,0,0.764766607
18,ab,0,0.125129834
19,ab,0,0.211854451
20,ab,0,0.309774647
21,ab,0,2.64206139
22,ab,0,0.372844292
23,ab,1,1.345138147
24,ab,0,0.508643382
25,ab,0,0.611105011
26,ab,0,0.469781526
27,ab,0,0.997131241
28,ab,0,0.632007031
29,ab,0,2.146907679
30,ab,1,0.545608234
31,ab,1,1.403997961
32,ab,1,1.747511711
33,ab,0,2.451984427
34,ab,0,1.207171164
35,ab,0,1.367932393
36,ab,0,0.367497028
37,ab,1,2.117658036
38,ab,0,0.471843879
39,ab,1,3.452106735
40,ab,0,1.736887303
41,ab,1,1.134201324
42,ab,0,1.962963884
43,ab,0,1.618856818
44,ab,0,1.02422892
45,ab,0,0.62677874
46,ab,0,0.493413691
47,ab,1,1.929201378
48,ab,0,0.47965846
49,ab,0,1.251033176
50,ab,0,1.875483582
51,ab,0,0.636369332
52,ab,0,0.518305941
53,ab,0,0.160388193
54,ab,0,0.330489929
55,ab,0,1.271745682
56,ab,0,0.614461728
57,ab,0,1.002301773
58,ab,0,1.224787157
59,ab,1,0.932424907
60,ab,0,0.576281802
61,ab,0,0.380717079
62,ab,0,0.331725563
63,ab,0,0.25652778
64,ab,0,0.179598256
65,ab,0,0.363022146
66,ab,0,0.392129405
67,ab,0,0.141941391
68,ab,0,0.393247976
69,ab,1,1.555277718
70,ab,1,1.538950131
71,ab,0,1.128051508
72,ab,0,0.243742994
73,ab,0,0.373910577
74,ab,0,0.279897279
75,ab,1,4.097525539
76,ab,1,0.502538302
77,ab,1,0.545766262
78,ab,1,0.667934827
79,ab,0,0.402179244
80,ab,0,1.017826405
81,ab,0,1.052458481
82,ab,0,0.223237716
83,ab,1,1.096493537
84,ab,0,0.309690045
85,ab,0,1.020584951
86,ab,0,0.615209264
87,ab,1,0.65051236
88,ab,1,1.128323268
89,ab,1,0.213150563
90,ab,1,0.21835136
91,ab,1,0.166254624
92,ab,1,0.802623866
93,ab,0,0.701403093
94,ab,0,1.065863859
95,ab,1,1.659685002
96,ab,0,0.594311799
97,ab,1,14.33774623
98,ab,1,4.068163594
99,ab,1,5.04346248
100,ab,0,1.272589437
101,ab,0,0.537971134
102,ab,0,0.313721996
103,ab,0,0.820906824
104,ab,0,0.311198065
105,ab,1,1.456868226
106,ab,1,1.47208818
107,ab,1,0.914676535
108,ab,1,2.527307267
109,ab,0,0.350877177
110,ab,0,1.665824378
111,ab,1,1.329132242
112,ab,1,2.079736283
113,ab,0,0.809932267
114,ab,1,2.35968207
115,ab,1,1.668176719
116,ab,0,2.15636647
117,ab,0,0.663049755
118,ab,1,4.485008609
119,ab,1,2.88652636
120,ab,1,0.239367423
121,ab,1,0.901582905
122,ab,1,1.183778484
123,ab,1,4.118810431
124,ab,1,0.826048948
125,ab,0,0.146483936
126,ab,0,0.093211708
127,ab,0,0.078661184
128,ab,0,0.873372839
129,ab,1,3.487477045
130,ab,0,0.262840649
131,ab,0,0.849509028
