type,n_type,n_origin,geometry
node,1,1,POINT Z (410129.97508290986 5081044.710318331 0)
node,1,1,POINT Z (410126.2683433265 5081043.439401477 0)
node,1,1,POINT Z (410127.2160633541 5081043.5560439415 0)
node,1,1,POINT Z (410126.8612758566 5081044.725506157 0)
node,1,1,POINT Z (410124.710281234 5081041.445666126 0)
node,1,1,POINT Z (410126.335127924 5081041.291606588 0)
node,1,1,POINT Z (410126.66250444227 5081042.006539131 0)
node,1,1,POINT Z (410129.8426904917 5081044.466376474 0)
node,1,1,POINT Z (410129.52988356183 5081043.902976919 0)
node,1,1,POINT Z (410129.57240946055 5081043.404816392 0)
node,1,1,POINT Z (410129.84700526326 5081043.390236083 0)
node,1,1,POINT Z (410131.704671333 5081044.224821355 0)
node,1,1,POINT Z (410132.91221290076 5081044.953295227 0)
node,1,1,POINT Z (410131.9655086253 5081044.719476936 0)
node,1,1,POINT Z (410132.5251137316 5081044.3900529295 0)
node,1,1,POINT Z (410133.8926909288 5081045.023960293 0)
node,1,1,POINT Z (410138.41681503784 5081045.53939972 0)
node,1,1,POINT Z (410139.05176159303 5081044.365631901 0)
node,1,1,POINT Z (410133.22604900406 5081044.195204335 0)
node,1,1,POINT Z (410133.49675862404 5081044.233134859 0)
node,1,1,POINT Z (410139.5962984093 5081044.991745298 0)
node,1,1,POINT Z (410136.9770139663 5081045.578888993 0)
node,1,1,POINT Z (410137.64417548635 5081045.450029138 0)
node,1,1,POINT Z (410141.37825357297 5081041.5003186185 0)
node,1,1,POINT Z (410141.27433433314 5081041.731019331 0)
node,1,1,POINT Z (410141.53101485566 5081041.9004076915 0)
node,1,1,POINT Z (410143.9045302948 5081038.863887497 0)
node,1,1,POINT Z (410144.0053319575 5081039.004178471 0)
node,1,1,POINT Z (410140.2889201403 5081039.451550799 0)
node,1,1,POINT Z (410137.9725602818 5081039.579891065 0)
node,1,1,POINT Z (410138.54827287095 5081039.6058708755 0)
node,1,1,POINT Z (410137.2438266112 5081040.65727379 0)
node,1,1,POINT Z (410139.8210237608 5081040.677018446 0)
node,1,1,POINT Z (410140.4108303961 5081039.829102395 0)
node,1,1,POINT Z (410141.2193220825 5081040.009921873 0)
node,1,1,POINT Z (410140.9491320589 5081039.5277366 0)
node,1,1,POINT Z (410142.6201534365 5081038.276548951 0)
node,1,1,POINT Z (410143.3600584247 5081038.569601207 0)
node,1,1,POINT Z (410136.3768154021 5081040.86342358 0)
node,1,1,POINT Z (410136.72390566336 5081040.869658735 0)
node,1,1,POINT Z (410139.8305713399 5081041.0889283335 0)
node,1,1,POINT Z (410142.09081480745 5081038.542906956 0)
node,1,1,POINT Z (410141.5566699142 5081038.129308381 0)
node,1,1,POINT Z (410137.1910226458 5081039.060424769 0)
node,1,1,POINT Z (410128.98711825087 5081042.747479406 0)
node,1,1,POINT Z (410138.0795321457 5081039.88242596 0)
node,1,2,POINT Z (410129.23313347105 5081044.480293664 0)
node,1,2,POINT Z (410123.56612622214 5081041.966790359 0)
node,1,2,POINT Z (410124.24411054957 5081043.509872965 0)
node,1,2,POINT Z (410124.8662036959 5081043.463701989 0)
node,1,2,POINT Z (410123.88446294935 5081043.107699466 0)
node,1,2,POINT Z (410124.81274256605 5081043.113774594 0)
node,1,2,POINT Z (410125.13593939604 5081043.023862693 0)
node,1,2,POINT Z (410127.10124342784 5081044.283844322 0)
node,1,2,POINT Z (410126.9323548588 5081044.26197386 0)
node,1,2,POINT Z (410126.8928665242 5081044.223093039 0)
node,1,2,POINT Z (410123.5371174802 5081042.778731258 0)
node,1,1;2,POINT Z (410126.8719291268 5081042.292993584 0)
node,1,1;2,POINT Z (410127.19689846475 5081042.158191488 0)
node,1,2,POINT Z (410131.95138041826 5081045.231859803 0)
node,1,1;2,POINT Z (410129.292953555 5081043.862881072 0)
node,1,1;2,POINT Z (410129.94785239466 5081043.666046912 0)
node,1,2,POINT Z (410129.40291337867 5081043.418181672 0)
node,1,2,POINT Z (410129.05268222705 5081043.392969888 0)
