,type,U-nodes,length
0,network,1,1.662
1,network,1,2.874
2,network,0,1.872
3,network,0,3.357
4,network,0,0.898
5,network,1,1.043
6,network,0,0.833
7,network,0,0.585
8,network,0,0.537
9,network,1,0.705
10,network,0,0.399
11,network,0,2.199
12,network,0,0.279
13,network,1,1.241
14,network,0,1.64
15,network,0,0.521
16,network,0,4.288
17,network,1,1.144
18,network,0,3.375
19,network,0,1.1
20,network,0,1.282
21,network,0,0.506
22,network,0,0.337
23,network,0,4.976
24,network,0,0.655
25,network,0,0.713
26,network,0,2.685
27,network,1,0.817
28,network,0,0.523
29,network,0,0.765
30,network,0,0.125
31,network,0,0.113
32,network,0,0.212
33,network,0,0.31
34,network,0,0.138
35,network,0,2.643
36,network,0,0.373
37,network,1,1.346
38,network,0,0.509
39,network,0,0.611
40,network,0,0.191
41,network,0,0.47
42,network,0,0.257
43,network,0,0.997
44,network,0,0.632
45,network,0,2.148
46,network,0,0.239
47,network,1,0.546
48,network,0,0.114
49,network,1,1.404
50,network,1,1.748
51,network,0,2.453
52,network,1,5.172
53,network,0,1.208
54,network,0,0.504
55,network,0,0.166
56,network,0,0.255
57,network,0,1.368
58,network,0,0.49
59,network,0,0.368
60,network,1,2.118
61,network,0,0.472
62,network,1,3.453
63,network,0,1.737
64,network,1,1.135
65,network,0,0.7
66,network,0,1.964
67,network,0,1.619
68,network,1,1.128
69,network,0,1.025
70,network,1,0.59
71,network,0,0.627
72,network,0,0.494
73,network,1,1.93
74,network,0,0.48
75,network,0,1.251
76,network,0,0.288
77,network,0,1.876
78,network,0,0.588
79,network,0,0.637
80,network,0,0.159
81,network,0,0.693
82,network,0,0.725
83,network,0,0.518
84,network,0,0.16
85,network,0,0.416
86,network,0,0.331
87,network,0,1.272
88,network,0,0.615
89,network,0,1.003
90,network,0,1.225
91,network,1,0.933
92,network,0,0.576
93,network,0,0.381
94,network,0,0.332
95,network,0,0.227
96,network,0,0.257
97,network,0,0.18
98,network,0,0.363
99,network,0,0.392
100,network,0,0.093
101,network,0,0.142
102,network,0,0.088
103,network,0,0.393
104,network,1,1.556
105,network,1,1.539
106,network,0,1.128
107,network,0,0.577
108,network,0,0.375
109,network,0,0.244
110,network,0,0.374
111,network,0,0.28
112,network,1,4.099
113,network,1,1.467
114,network,1,0.503
115,network,0,0.385
116,network,0,0.151
117,network,0,0.35
118,network,0,0.508
119,network,1,0.546
120,network,1,0.801
121,network,1,0.668
122,network,1,1.13
123,network,0,0.618
124,network,0,0.838
125,network,0,0.402
126,network,1,0.283
127,network,0,1.018
128,network,0,0.222
129,network,0,0.279
130,network,0,0.263
131,network,0,1.053
132,network,0,0.371
133,network,0,0.223
134,network,0,1.308
135,network,1,1.097
136,network,0,0.31
137,network,0,1.021
138,network,0,0.615
139,network,0,1.377
140,network,1,0.651
141,network,1,1.129
142,network,1,0.213
143,network,1,0.218
144,network,1,0.166
145,network,1,1.404
146,network,1,1.795
147,network,1,0.803
148,network,0,0.702
149,network,0,0.437
150,network,0,1.017
151,network,1,0.807
152,network,1,0.379
153,network,1,0.496
154,network,1,1.293
155,network,0,1.066
156,network,0,0.277
157,network,0,0.205
158,network,0,0.558
159,network,1,1.66
160,network,0,0.594
161,network,0,0.151
162,network,1,14.342
163,network,1,1.212
164,network,1,4.069
165,network,0,0.345
166,network,1,5.045
167,network,0,1.273
168,network,0,1.119
169,network,0,0.711
170,network,0,0.555
171,network,0,0.564
172,network,0,0.203
173,network,0,0.538
174,network,0,0.314
175,network,0,0.821
176,network,0,0.158
177,network,0,0.311
178,network,1,1.457
179,network,0,0.104
180,network,0,0.564
181,network,1,1.473
182,network,0,0.422
183,network,1,0.915
184,network,0,0.186
185,network,1,2.528
186,network,1,1.273
187,network,1,1.038
