geometry,original_line_id,type,censored,f_set,length,id,b_group
"LINESTRING Z (-74.97663008398125 -18.52874926363815 0, -70.90506200463152 -13.357082666754295 0)",1,fracture,1,1,6.582081890565013,,-9999
"LINESTRING Z (-70.90506200463152 -13.357082666754295 0, -69.95715451115994 -12.153059689517033 0)",2,fracture,0,1,1.5323837462903491,,-9999
"LINESTRING Z (-69.95715451115994 -12.153059689517033 0, -69.32072373101182 -11.344671436447126 0)",3,fracture,0,1,1.028851644126284,,-9999
"LINESTRING Z (-69.32072373101182 -11.344671436447126 0, -62.756313243025275 -3.0066203987800786 0)",4,fracture,0,1,10.612001703803497,,-9999
"LINESTRING Z (-62.756313243025275 -3.0066203987800786 0, -58.652308931790394 2.2062463877358613 0)",5,fracture,0,1,6.634518183002856,,-9999
"LINESTRING Z (-58.652308931790394 2.2062463877358613 0, -55.585887294620484 6.101185645498752 0, -55.576182142997915 6.113513035704676 0, -55.57591964862581 6.11384645353034 0)",6,fracture,0,1,4.97327953123157,,-9999
"LINESTRING Z (-55.57591964862581 6.11384645353034 0, -54.620727441242195 7.327122404283588 0)",7,fracture,0,1,1.544160187844055,,-9999
"LINESTRING Z (-54.620727441242195 7.327122404283588 0, -51.58938102281517 11.177509456700582 0)",8,fracture,1,1,4.900463402774353,,-9999
"LINESTRING Z (-70.37766969902718 -17.635958217246085 0, -68.31214172065576 -15.012344454074386 0)",9,fracture,1,1,3.339124886514293,,-9999
"LINESTRING Z (-68.31214172065576 -15.012344454074386 0, -67.48821653446478 -13.965802610560438 0)",10,fracture,0,1,1.3319544071271388,,-9999
"LINESTRING Z (-67.48821653446478 -13.965802610560438 0, -66.783028862021 -13.070080014490221 0)",11,fracture,0,1,1.1400037817820827,,-9999
"LINESTRING Z (-66.783028862021 -13.070080014490221 0, -66.26332221276813 -12.409953629338695 0)",12,fracture,0,1,0.8401558460493297,,-9999
"LINESTRING Z (-66.26332221276813 -12.409953629338695 0, -66.16901722354152 -12.29016833944599 0)",13,fracture,0,1,0.15245309661568374,,-9999
