id,length,azimuth
,1.662,"99"
,2.874,"149"
,1.872,"72"
,3.357,"141"
,0.898,"99"
,1.043,"8"
,0.833,"63"
,0.585,"2"
,0.537,"46"
,0.705,"113"
,0.399,"47"
,2.199,"146"
,0.279,"36"
,1.241,"35"
,1.640,"108"
,0.521,"39"
,4.288,"99"
,1.144,"46"
,3.375,"100"
,1.100,"96"
,1.282,"139"
,0.506,"98"
,0.337,"25"
,4.976,"119"
,0.655,"96"
,0.713,"122"
,2.685,"124"
,0.817,"38"
,0.523,"106"
,0.765,"163"
,0.125,"120"
,0.113,"61"
,0.212,"150"
,0.310,"113"
,0.138,"68"
,2.643,"107"
,0.373,"95"
,1.346,"129"
,0.509,"121"
,0.611,"128"
,0.191,"51"
,0.470,"122"
,0.257,"37"
,0.997,"94"
,0.632,"141"
,2.148,"103"
,0.239,"38"
,0.546,"128"
,0.114,"31"
,1.404,"92"
,1.748,"104"
,2.453,"123"
,5.172,"58"
,1.208,"122"
,0.504,"80"
,0.166,"82"
,0.255,"69"
,1.368,"120"
,0.490,"44"
,0.368,"123"
,2.118,"124"
,0.472,"125"
,3.453,"128"
,1.737,"132"
,1.135,"120"
,0.700,"23"
,1.964,"99"
,1.619,"128"
,1.128,"90"
,1.025,"94"
,0.590,"67"
,0.627,"124"
,0.494,"101"
,1.930,"93"
,0.480,"93"
,1.251,"128"
,0.288,"39"
,1.876,"119"
,0.588,"56"
,0.637,"127"
,0.159,"48"
,0.693,"69"
,0.725,"70"
,0.518,"143"
,0.160,"128"
,0.416,"67"
,0.331,"134"
,1.272,"126"
,0.615,"114"
,1.003,"114"
,1.225,"107"
,0.933,"107"
,0.576,"112"
,0.381,"113"
,0.332,"123"
,0.227,"59"
,0.257,"118"
,0.180,"131"
,0.363,"119"
,0.392,"122"
,0.093,"63"
,0.142,"135"
,0.088,"50"
,0.393,"162"
,1.556,"125"
,1.539,"128"
,1.128,"112"
,0.577,"78"
,0.375,"32"
,0.244,"100"
,0.374,"129"
,0.280,"118"
,4.099,"125"
,1.467,"74"
,0.503,"125"
,0.385,"72"
,0.151,"41"
,0.350,"55"
,0.508,"65"
,0.546,"104"
,0.801,"55"
,0.668,"117"
,1.130,"62"
,0.618,"53"
,0.838,"58"
,0.402,"178"
,0.283,"37"
,1.018,"127"
,0.222,"74"
,0.279,"83"
,0.263,"83"
,1.053,"111"
,0.371,"81"
,0.223,"133"
,1.308,"87"
,1.097,"93"
,0.310,"116"
,1.021,"113"
,0.615,"96"
,1.377,"85"
,0.651,"102"
,1.129,"127"
,0.213,"116"
,0.218,"122"
,0.166,"115"
,1.404,"88"
,1.795,"88"
,0.803,"96"
,0.702,"107"
,0.437,"30"
,1.017,"37"
,0.807,"19"
,0.379,"41"
,0.496,"31"
,1.293,"33"
,1.066,"120"
,0.277,"28"
,0.205,"39"
,0.558,"40"
,1.660,"128"
,0.594,"121"
,0.151,"63"
,14.342,"96"
,1.212,"87"
,4.069,"121"
,0.345,"37"
,5.045,"114"
,1.273,"133"
,1.119,"70"
,0.711,"39"
,0.555,"44"
,0.564,"70"
,0.203,"81"
,0.538,"164"
,0.314,"124"
,0.821,"142"
,0.158,"33"
,0.311,"130"
,1.457,"136"
,0.104,"29"
,0.564,"49"
,1.473,"134"
,0.422,"51"
,0.915,"138"
,0.186,"40"
,2.528,"126"
,1.273,"53"
,1.038,"56"
,0.584,"65"
,0.391,"47"
,0.950,"63"
,0.351,"116"
,1.666,"140"
,1.330,"141"
,0.365,"61"
,0.425,"51"
,0.603,"60"
,2.080,"118"
,0.969,"69"
,0.956,"60"
,0.928,"52"
,0.550,"46"
,0.810,"100"
,2.360,"131"
,0.817,"65"
,1.669,"114"
,1.484,"87"
,2.157,"98"
,0.663,"99"
,4.486,"101"
,0.273,"52"
,2.887,"113"
,0.229,"53"
,0.239,"121"
,0.902,"127"
,1.184,"127"
,4.120,"109"
,0.826,"102"
,0.596,"53"
,0.197,"60"
,0.708,"62"
,0.266,"83"
,0.247,"41"
,0.147,"124"
,0.093,"145"
,0.079,"117"
,0.874,"97"
,3.489,"125"
,0.263,"132"
,0.850,"125"
,0.223,"135"
,0.858,"60"
,0.574,"116"
,0.298,"133"
,1.580,"131"
,0.536,"37"
,0.951,"105"
,0.093,"34"
,1.030,"102"
,0.877,"105"
,0.304,"104"
,0.345,"113"
,0.532,"112"
,0.266,"102"
,3.571,"91"
,0.406,"53"
,0.718,"97"
,0.327,"102"
,3.235,"83"
,3.508,"85"
,2.233,"77"
,0.475,"102"
,0.468,"138"
,0.685,"137"
,0.212,"42"
,0.782,"123"
,1.429,"67"
,0.631,"119"
,1.017,"89"
,0.561,"44"
,1.857,"98"
,0.276,"89"
,0.632,"112"
,1.423,"89"
,0.211,"19"
,1.691,"60"
,0.687,"84"
,6.625,"46"
,3.746,"48"
,2.325,"46"
,0.634,"51"
,2.032,"155"
,7.246,"53"
,1.195,"95"
,1.899,"96"
,0.280,"47"
,3.063,"123"
,5.358,"106"
,0.661,"89"
,0.167,"32"
,1.205,"31"
,0.625,"33"
,0.394,"115"
,0.583,"29"
,1.036,"99"
,1.488,"101"
,0.626,"85"
,0.321,"140"
,0.305,"87"
,0.452,"82"
,5.334,"99"
,2.625,"116"
,0.473,"170"
,0.949,"110"
,0.310,"37"
,1.465,"97"
,0.377,"46"
,0.170,"47"
,0.117,"31"
,0.352,"26"
,2.339,"95"
,1.027,"128"
,0.148,"126"
,0.440,"129"
,0.453,"112"
,6.591,"60"
,10.175,"63"
,0.791,"60"
,2.997,"79"
,2.291,"99"
,2.397,"125"
,0.354,"132"
,1.150,"60"
,0.537,"133"
,0.120,"153"
,0.433,"133"
,0.524,"130"
,0.385,"124"
,0.077,"24"
,1.145,"82"
,1.893,"87"
,0.473,"79"
,1.307,"126"
,1.226,"118"
,0.438,"136"
,1.532,"136"
