,abc,U-nodes,length
0,abc,0,1.871311899
1,abc,1,1.042713604
2,abc,0,0.832319419
3,abc,0,0.585284724
4,abc,0,0.537227853
5,abc,0,0.399253744
6,abc,0,0.278681472
7,abc,1,1.241011192
8,abc,0,0.52114028
9,abc,1,1.143791915
10,abc,0,0.337094364
11,abc,1,0.81722017
12,abc,0,0.112585095
13,abc,0,0.138027799
14,abc,0,0.190824568
15,abc,0,0.2571958
16,abc,0,0.238714669
17,abc,0,0.113901648
18,abc,1,5.170394084
19,abc,0,0.503727152
20,abc,0,0.165927881
21,abc,0,0.254511152
22,abc,0,0.490164486
23,abc,0,0.699536401
24,abc,1,1.127702254
25,abc,1,0.590121615
26,abc,0,0.287781397
27,abc,0,0.587703407
28,abc,0,0.158863683
29,abc,0,0.692917079
30,abc,0,0.724581742
31,abc,0,0.415638526
32,abc,0,0.226787255
33,abc,0,0.093400598
34,abc,0,0.087519549
35,abc,0,0.576814945
36,abc,0,0.374907809
37,abc,1,1.466532276
38,abc,0,0.38470933
39,abc,0,0.150629824
40,abc,0,0.349842328
41,abc,0,0.507681239
42,abc,1,0.80054167
43,abc,1,1.129667888
44,abc,0,0.617889854
45,abc,0,0.837746359
46,abc,1,0.28303485
47,abc,0,0.2221837
48,abc,0,0.278978036
49,abc,0,0.262984573
50,abc,0,0.371050944
51,abc,0,1.307608885
52,abc,0,1.37625731
53,abc,1,1.403640953
54,abc,1,1.794948699
55,abc,0,0.436830146
56,abc,0,1.016292557
57,abc,1,0.806484411
58,abc,1,0.378499843
59,abc,1,0.496202865
60,abc,1,1.292683379
61,abc,0,0.277194472
62,abc,0,0.205261476
63,abc,0,0.558067043
64,abc,0,0.151341275
65,abc,1,1.211939167
66,abc,0,0.344560688
67,abc,0,1.119146494
68,abc,0,0.710967519
69,abc,0,0.555143444
70,abc,0,0.563848221
71,abc,0,0.2028213
72,abc,0,0.158234343
73,abc,0,0.104333106
74,abc,0,0.563984548
75,abc,0,0.422034071
76,abc,0,0.186220331
77,abc,1,1.272578818
78,abc,1,1.037341893
79,abc,1,0.58337856
80,abc,1,0.390762919
81,abc,1,0.949474622
82,abc,0,0.364538553
83,abc,0,0.425031342
84,abc,0,0.603239571
85,abc,1,0.968918606
86,abc,1,0.95615559
87,abc,1,0.927464295
88,abc,0,0.549732731
89,abc,0,0.816446773
90,abc,0,1.483476387
91,abc,1,0.272493646
92,abc,1,0.228798909
93,abc,0,0.595985646
94,abc,0,0.196814109
95,abc,0,0.707545523
96,abc,0,0.265664511
97,abc,0,0.246952668
98,abc,0,0.85779867
99,abc,1,0.536295551
100,abc,0,0.092587927
101,abc,0,0.405378983
102,abc,1,3.234030836
103,abc,1,3.506529224
104,abc,0,2.232369492
105,abc,0,0.21195817
106,abc,0,1.428997722
107,abc,1,1.016434794
108,abc,0,0.560731215
109,abc,1,0.275613063
110,abc,1,1.42216767
111,abc,0,0.210685068
112,abc,0,1.690658432
113,abc,0,0.686703113
114,abc,0,6.623039791
115,abc,0,3.744495886
116,abc,1,2.324204452
117,abc,1,0.634304272
118,abc,0,7.243439292
119,abc,0,0.280188114
120,abc,0,0.661111225
121,abc,0,0.167167062
122,abc,0,1.204941613
123,abc,0,0.625176289
124,abc,1,0.583309344
125,abc,0,0.625964194
126,abc,0,0.305302698
127,abc,0,0.451551464
128,abc,0,0.30977486
129,abc,1,0.376811816
130,abc,0,0.17019036
131,abc,0,0.116795034
132,abc,0,0.351953734
133,abc,1,6.58887714
134,abc,1,10.17202344
135,abc,0,0.79107416
136,abc,0,2.995687685
137,abc,1,1.149266449
138,abc,0,0.077463557
139,abc,1,1.144987147
140,abc,0,1.892552503
141,abc,0,0.472555194
142,abc,0,0.507439503
143,abc,0,1.343437988
144,abc,0,0.190770131
145,abc,1,2.660574846
146,abc,0,0.47640055
147,abc,1,0.674710404
148,abc,0,0.337421068
149,abc,0,0.315375126
150,abc,1,2.892123435
151,abc,1,1.711869878
152,abc,0,0.4271614
153,abc,0,0.162637666
154,abc,0,0.373329704
155,abc,1,1.606474686
156,abc,0,0.334108689
157,abc,0,1.596801008
158,abc,0,0.561837895
159,abc,0,0.451563397
160,abc,0,0.217460283
161,abc,0,0.263189167
162,abc,0,1.922342567
163,abc,1,0.5466161
164,abc,0,2.371061522
165,abc,0,0.737947763
166,abc,0,1.101460127
167,abc,0,0.306846699
168,abc,0,0.294736682
169,abc,0,0.540153766
170,abc,0,0.661507439
171,abc,0,1.438846511
172,abc,0,0.279060023
173,abc,0,0.407520348
174,abc,0,1.023424891
175,abc,1,4.434263772
176,abc,0,0.320723771
177,abc,0,0.132821307
178,abc,0,0.383523091
179,abc,0,0.409016127
180,abc,0,2.92745727
181,abc,0,1.661956828
182,abc,0,0.408501062
183,abc,0,0.153567723
184,abc,0,0.25892207
185,abc,0,0.434509246
186,abc,0,0.094779791
187,abc,0,0.362928288
188,abc,0,0.216808675
189,abc,0,0.235780791
190,abc,0,0.442444325
191,abc,0,0.69522898
192,abc,0,0.330443747
193,abc,0,0.423090544
194,abc,0,0.35913258
195,abc,0,0.166587993
196,abc,1,1.121653941
197,abc,0,0.412764366
198,abc,0,1.069025915
199,abc,0,0.617295006
200,abc,0,0.696552551
201,abc,0,0.387979433
202,abc,0,0.480208176
203,abc,0,0.563245821
204,abc,0,1.257010562
205,abc,1,0.815922166
206,abc,0,0.335877966
207,abc,1,2.038139212
208,abc,0,0.626731935
209,abc,0,0.175336472
210,abc,0,0.164198706
211,abc,0,1.142960419
212,abc,1,0.68395143
213,abc,1,0.798568388
214,abc,0,2.168258942
215,abc,0,2.200768376
216,abc,0,0.61163904
217,abc,0,0.538697124
218,abc,0,0.60607893
219,abc,0,0.781240967
220,abc,0,0.238080924
221,abc,0,0.604414353
222,abc,1,1.004468522
223,abc,0,0.251168986
224,abc,1,2.490122651
225,abc,1,1.078833243
226,abc,0,0.407182632
227,abc,0,1.857210293
228,abc,0,0.147392513
229,abc,0,0.116089567
230,abc,0,0.473004679
231,abc,1,0.61243727
232,abc,1,0.772930283
233,abc,1,0.623635585
234,abc,1,0.974413342
235,abc,1,0.379097269
236,abc,0,0.346300406
237,abc,0,0.284273614
238,abc,0,0.603824217
239,abc,0,0.935193757
240,abc,0,0.714315091
241,abc,0,1.421254431
242,abc,0,0.638619579
243,abc,0,0.281766082
244,abc,0,0.754747108
245,abc,1,0.92443234
246,abc,0,0.644355702
247,abc,0,1.683414057
248,abc,0,1.169871908
249,abc,0,3.141884986
250,abc,0,0.313946299
251,abc,0,0.285226992
252,abc,0,0.410430087
253,abc,1,0.490764148
254,abc,0,0.422591682
255,abc,0,0.241774891
256,abc,1,1.946584904
257,abc,0,0.324192805
258,abc,0,0.75657064
259,abc,0,0.990881581
260,abc,0,0.499536242
261,abc,0,0.626652956
262,abc,1,10.66515059
263,abc,0,0.602705699
264,abc,0,1.08342355
265,abc,0,0.276663982
266,abc,0,0.489317823
267,abc,1,0.35100684
268,abc,1,3.105470582
269,abc,0,1.140996764
270,abc,0,2.107907104
271,abc,1,0.421862514
272,abc,0,0.127459924
273,abc,1,0.406850971
274,abc,1,1.068912809
275,abc,0,2.601388853
276,abc,0,0.879829168
277,abc,0,0.434913422
278,abc,0,0.73657135
279,abc,0,0.711379383
280,abc,0,0.228225574
281,abc,0,0.525909996
282,abc,0,0.950725733
283,abc,0,0.793711572
284,abc,1,2.525819831
285,abc,0,0.362419189
286,abc,0,0.419140569
287,abc,0,4.481633883
288,abc,0,0.273122821
289,abc,0,0.542609926
290,abc,0,1.361782138
291,abc,0,1.144507795
292,abc,1,0.27104102
293,abc,0,4.24077412
294,abc,0,0.443804581
295,abc,0,2.912959172
296,abc,1,1.470236781
297,abc,1,1.08934829
298,abc,1,0.770218161
299,abc,1,0.460023233
300,abc,1,0.615524124
301,abc,1,1.101587448
302,abc,1,0.536685524
303,abc,1,1.333062167
304,abc,0,0.303397429
305,abc,0,0.390515505
306,abc,0,0.975810344
307,abc,0,0.119436168
308,abc,0,0.570908551
309,abc,0,0.585812352
310,abc,0,0.196533713
311,abc,1,0.336572038
