id;Fault;Set;dir;geometry;og_line_id;type;censored;f_set;length;b_group
;1.0;1.0;123.163;LINESTRING (636960.8534234266 4518526.132076414, 636960.8534234267 4518526.132076414, 636960.8534234267 4518526.132076414, 636962.3321051282 4518525.197311709, 636964.084214416 4518524.0705440575, 636964.3223197281 4518523.926095902, 636964.4426331536 4518523.850449736, 636964.5766349331 4518523.788491924, 636964.726486383 4518523.700238043, 636964.7800262388 4518523.665614839, 636964.8219446399 4518523.6289145155, 636964.884611103 4518523.497857063);1;fracture;1;1;4.8394;-9999
;1.0;1.0;123.73829;LINESTRING (636964.884611103 4518523.497857063, 636964.9051554222 4518523.485727128, 636964.935947232 4518523.470584745, 636964.9613497192 4518523.457089673, 636965.1342552411 4518523.346862403, 636965.3147253799 4518523.240237331, 636965.3864091276 4518523.1750375405, 636965.4051405591 4518523.163150285, 636965.4238719906 4518523.168553583, 636965.4548508966 4518523.126768082, 636965.4771845265 4518523.134332699, 636965.5171689285 4518523.124606763, 636965.6410845525 4518523.025186088, 636965.6749452173 4518522.984841467, 636965.7480698442 4518522.949900143, 636965.8741467873 4518522.863447381, 636966.1082896815 4518522.7139561465, 636966.1345857296 4518522.677213724, 636966.1623226571 4518522.670009327, 636966.2033877185 4518522.653439214, 636966.3143354284 4518522.578153268, 636966.3788147795 4518522.542491504, 636966.4559018242 4518522.480533692, 636966.5193005155 4518522.44162995, 636966.5538816199 4518522.412091923, 636966.5798174482 4518522.381833457, 636966.5985488797 4518522.3710268615, 636966.6417752602 4518522.342209275, 636966.6950877963 4518522.288176298, 636966.7260667023 4518522.277369703, 636966.7426368148 4518522.234143322, 636966.7678522035 4518522.21901409, 636966.7937880317 4518522.191637382, 636966.8125194632 4518522.17434683, 636966.8636706801 4518522.170024191, 636966.9040153018 4518522.149131441);2;fracture;0;1;2.4826;-9999
;1.0;1.0;127.62043;LINESTRING (636966.8633104602 4518522.210729031, 636966.9645322345 4518522.132921547, 636967.1053781909 4518522.0471892245, 636967.1878685335 4518522.0014413055, 636967.2703588763 4518521.9556933865, 636967.5099050682 4518521.797917098, 636967.583750135 4518521.7471261015, 636968.8497427438 4518520.851619534, 636970.2272234014 4518519.814186403, 636971.0168252848 4518519.2493616985, 636972.0139137942 4518518.275327258, 636972.5902655339 4518517.7969553135, 636973.0167658211 4518517.468434823);3;fracture;1;1;7.7849;-9999
;1.0;1.0;124.3802;LINESTRING (636962.4128022413 4518528.099482107, 636962.6807979287 4518527.927417839, 636963.1706969073 4518527.678145711, 636963.4041193619 4518527.559993605, 636963.6807681969 4518527.3928516, 636963.9934390157 4518527.204096406, 636964.2816148855 4518526.985082745, 636964.6663296719 4518526.708433909, 636964.9732369733 4518526.505269921, 636965.1591104093 4518526.3827951765, 636965.3802853895 4518526.2401481215, 636965.5531909113 4518526.101823704, 636965.7405052268 4518525.93324082, 636965.8838727219 4518525.826615748, 636966.1072090209 4518525.642183192, 636966.2181567308 4518525.554289551, 636966.4573427027 4518525.377781832, 636966.6421354791 4518525.2380165355, 636966.6792381224 4518525.231172359, 636966.7004910927 4518525.211000048, 636966.746599232 4518525.175338283, 636966.8280089152 4518525.128509705, 636966.9335533275 4518525.05106244, 636966.9793012468 4518525.012879137, 636967.1338355569 4518524.882479555, 636967.2314551328 4518524.819080864, 636967.4025595556 4518524.6948050205, 636967.4868509974 4518524.632126769, 636967.5419646325 4518524.60835226, 636967.6089655223 4518524.552878405, 636967.6478692646 4518524.498845429, 636967.7436877413 4518524.441930695, 636967.8142908295 4518524.403747393);4;fracture;1;1;6.5703;-9999
;1.0;1.0;124.37587;LINESTRING (636962.3983855757 4518525.6054407675, 636963.0049957817 4518525.184703998, 636963.4343778277 4518524.916700439, 636963.7211128182 4518524.700568536);5;fracture;0;1;1.6035;-9999
;1.0;1.0;128.04654;LINESTRING (636964.0467515506 4518528.366165599, 636964.2153344345 4518528.3344662525, 636964.6461573599 4518528.044849504, 636964.9833231276 4518527.714888133, 636965.1591104082 4518527.562154922, 636965.4083825356 4518527.41086259, 636965.6879131293 4518527.246602344, 636965.9688846024 4518527.047760994, 636966.5754948083 4518526.521840033, 636966.8824021097 4518526.2322232835, 636967.3132250351 4518525.884971361, 636967.4083230721 4518525.828777066, 636967.5120663852 4518525.763937496, 636967.8420277562 4518525.4642345905, 636967.9616207422 4518525.366254794, 636968.001965364 4518525.33167369, 636968.1964840761 4518525.15588641, 636968.4673693938 4518524.906614282);6;fracture;0;1;5.6501;-9999
;1.0;1.0;129.15203;LINESTRING (636965.9256582217 4518526.854683163, 636966.1893391426 4518526.670250606, 636966.2685875068 4518526.582356966, 636966.3550402677 4518526.490140688, 636966.6936469148 4518526.186115145, 636966.9731775085 4518525.933961258, 636967.1071792879 4518525.811486514, 636967.4040004337 4518525.593913732, 636967.5898738698 4518525.441180522, 636967.6849719068 4518525.382104468, 636967.8031240135 4518525.305737862, 636967.8521139113 4518525.240898292, 636968.0509552616 4518525.1011329945, 636968.25339881 4518524.939034068, 636968.581198862 4518524.667428311, 636968.6546837088 4518524.627083689, 636968.7216845986 4518524.582416429, 636968.764910979 4518524.534867411, 636968.795889885 4518524.509652022, 636968.8520841796 4518524.489479711, 636968.9421391389 4518524.433285416, 636969.1200877386 4518524.278390886, 636969.4500491094 4518524.0226348005, 636969.6611379341 4518523.864858512, 636969.8282799385 4518523.717888819, 636970.0307234871 4518523.554349013, 636970.1042083339 4518523.498875158, 636971.0355567171 4518522.844355674, 636971.3900130369 4518522.610933219, 636971.7862548579 4518522.368865489, 636971.8640623428 4518522.260799537, 636971.894320809 4518522.0360223595, 636972.04705402 4518521.772341439, 636972.3006487854 4518521.465434137, 636972.496608377 4518521.331432357, 636972.8323332655 4518521.118182213, 636973.1594128776 4518520.90493207, 636973.4749654551 4518520.744994461, 636973.9187562945 4518520.474109143, 636974.1291246795 4518520.30408538, 636974.4922262755 4518519.971242251, 636974.7631115931 4518519.703238691, 636974.9763617368 4518519.504397341, 636975.0613736183 4518519.416503701);7;fracture;1;1;11.9236;-9999
;1.0;1.0;128.48001;LINESTRING (636966.6509608628 4518528.911898641, 636967.217226447 4518528.491161871, 636967.6566946484 4518528.16264138, 636967.8785900682 4518528.022876083, 636968.014032727 4518527.883110786, 636968.2402507848 4518527.713087022, 636968.7056548147 4518527.316845202, 636968.9052166046 4518527.136014843, 636969.1379186193 4518526.886742718, 636969.2632751226 4518526.744095662, 636969.3281146933 4518526.683218506, 636969.4819285638 4518526.539490792, 636969.5752255017 4518526.463484406, 636969.6368230939 4518526.390359779, 636969.8018037794 4518526.260320418, 636970.2650464895 4518525.83778255, 636970.5546632387 4518525.635339001, 636970.7189234844 4518525.531595688, 636970.7859243742 4518525.474680954, 636971.0092606731 4518525.329152138, 636971.131014978 4518525.268635205, 636971.2787051114 4518525.181462005, 636971.4472879951 4518525.041696708, 636971.6871944068 4518524.886802178, 636971.8716269636 4518524.7621661145);8;fracture;0;1;6.6947;-9999
;1.0;1.0;118.74096;LINESTRING (636969.428616027 4518530.363584585, 636969.5899945141 4518530.236066762, 636969.7542547599 4518530.158259277, 636969.9422895149 4518530.081892672, 636970.1411308652 4518530.003364747, 636970.2196587897 4518529.9306003405, 636970.3111546283 4518529.8794491235, 636970.39616651 4518529.81965263, 636970.4876623487 4518529.774264931, 636970.5964487394 4518529.717350196, 636970.6756971037 4518529.633058756, 636970.7254074413 4518529.581907539, 636970.7945696501 4518529.5552512705, 636970.8975925235 4518529.466637191, 636971.0510461741 4518529.411163336, 636971.1425420129 4518529.352807722, 636971.221790377 4518529.319667498, 636971.3118453363 4518529.277161556, 636971.3874915022 4518529.22673078, 636971.4386427191 4518529.184224838, 636971.549590429 4518529.161170769, 636971.638564729 4518529.149643733, 636971.6969203426 4518529.110379771, 636971.846051355 4518529.054905918, 636971.9260201588 4518528.995109426, 636972.0737102921 4518528.912979303);9;fracture;0;1;3.0579;-9999
;1.0;1.0;125.66566;LINESTRING (636971.9562786251 4518529.115422852, 636972.1363885436 4518528.985023271, 636972.3554022047 4518528.846698854, 636972.4548228798 4518528.786181921, 636972.5808998229 4518528.681718169, 636972.684643136 4518528.609674201, 636972.7185038007 4518528.581577053, 636972.810720079 4518528.528984957, 636972.864032615 4518528.47927462, 636972.9000545987 4518528.451897913, 636972.9346357031 4518528.4454139555, 636972.9684963678 4518528.429564282, 636973.0095614291 4518528.405789773, 636973.1529289243 4518528.325820969, 636974.2386315071 4518527.641763453, 636975.175203084 4518527.03083061, 636975.8235987911 4518526.538049872, 636976.7169439878 4518525.7686203, 636977.2760051752 4518525.319065942, 636977.5151911471 4518525.12598811);10;fracture;1;1;6.86;-9999
;0.0;1.0;123.83179;LINESTRING (636965.8184928162 4518531.254768452, 636966.6657298735 4518530.563146364, 636966.9077976041 4518530.421940188, 636967.6973994875 4518529.9954399);11;fracture;0;1;2.2714;-9999
;0.0;1.0;115.03137;LINESTRING (636967.2410966255 4518534.281955084, 636967.570602104 4518534.0832146155, 636967.7766478509 4518533.980912182, 636967.9164131478 4518533.953535474, 636968.1368676882 4518533.877168869, 636968.7405961355 4518533.573143326, 636969.2982164435 4518533.313785043, 636969.6901356265 4518533.120707209, 636969.7895563015 4518533.091889622);12;fracture;1;1;2.8219;-9999
