type,n_type,n_origin,geometry
node,1,1,POINT Z (440147.63231185783 3987824.183920357 0)
node,1,1,POINT Z (440204.02745295496 3987828.229604771 0)
node,1,1,POINT Z (440167.3620001103 3987823.0213786974 0)
node,1,1,POINT Z (440186.49576640147 3987824.7652985738 0)
node,1,1,POINT Z (440166.6450673491 3987808.9759759735 0)
node,1,1,POINT Z (440208.0857262742 3987812.9458140116 0)
node,1,1,POINT Z (440182.27231988905 3987862.701386891 0)
node,1,1,POINT Z (440175.83650805143 3987865.534330055 0)
node,1,1,POINT Z (440184.6893678173 3987863.5096329567 0)
node,1,1,POINT Z (440188.23741916026 3987864.070250298 0)
node,1,1,POINT Z (440147.41483804747 3987867.78659536 0)
node,1,1,POINT Z (440178.4282245133 3987870.524981719 0)
node,1,1,POINT Z (440182.794882467 3987866.900427755 0)
node,1,1,POINT Z (440191.0555200679 3987868.3246085644 0)
node,1,1,POINT Z (440179.95482145296 3987865.7761614635 0)
node,1,1,POINT Z (440187.5742069273 3987866.8338467036 0)
node,1,1,POINT Z (440146.8973211407 3987872.847126801 0)
node,1,1,POINT Z (440163.07316689566 3987872.788959874 0)
node,1,1,POINT Z (440165.5420993249 3987874.061691091 0)
node,1,1,POINT Z (440176.9074698611 3987874.344073961 0)
node,1,1,POINT Z (440192.6350327101 3987874.911631285 0)
node,1,1,POINT Z (440178.7663302105 3987875.45602362 0)
node,1,1,POINT Z (440159.3928089223 3987813.5389198395 0)
node,1,1,POINT Z (440188.9555233369 3987778.2341223625 0)
node,1,1,POINT Z (440191.296044548 3987778.5330631365 0)
node,1,1,POINT Z (440180.01139402017 3987768.752613969 0)
node,1,1,POINT Z (440208.40951012075 3987771.5487343725 0)
node,1,1,POINT Z (440188.6774633608 3987891.103191656 0)
node,1,1,POINT Z (440192.9101778263 3987892.0490129353 0)
node,1,1,POINT Z (440147.9154616471 3987893.2705160435 0)
node,1,1,POINT Z (440156.33444059524 3987893.7079254757 0)
node,1,1,POINT Z (440152.7073770461 3987895.846956023 0)
node,1,1,POINT Z (440154.31672695366 3987896.0908937044 0)
node,1,1,POINT Z (440152.5313500474 3987895.038427903 0)
node,1,1,POINT Z (440153.64065035986 3987895.1808113926 0)
node,1,1,POINT Z (440166.14063022943 3987902.8929495467 0)
node,1,1,POINT Z (440176.6321522609 3987903.6311397147 0)
node,1,1,POINT Z (440155.3315264257 3987903.8063854594 0)
node,1,1,POINT Z (440172.70075914724 3987903.9528099597 0)
node,1,1,POINT Z (440155.4204601422 3987904.345598067 0)
node,1,1,POINT Z (440159.5385515864 3987904.5574311214 0)
node,1,1,POINT Z (440155.8136608359 3987904.8527454673 0)
node,1,1,POINT Z (440154.60242230434 3987905.8356803125 0)
node,1,1,POINT Z (440175.1781390658 3987906.5200889735 0)
node,1,1,POINT Z (440179.4413528479 3987906.580992089 0)
node,1,1,POINT Z (440172.99063513346 3987909.009175432 0)
node,1,1,POINT Z (440178.3774850171 3987907.7428585854 0)
node,1,1,POINT Z (440183.2798108023 3987910.438522027 0)
node,1,1,POINT Z (440182.8728774335 3987800.7230620813 0)
node,1,1,POINT Z (440185.2142261118 3987799.3575533824 0)
node,1,1,POINT Z (440180.8498358997 3987838.0593453213 0)
node,1,1,POINT Z (440190.4717199856 3987838.0687284865 0)
node,1,1,POINT Z (440158.90298172645 3987888.8141892944 0)
node,1,1,POINT Z (440177.41456896154 3987889.7704469524 0)
node,1,1,POINT Z (440176.1888979373 3987890.4235876235 0)
node,1,1,POINT Z (440185.2033139553 3987890.662030341 0)
node,1,1,POINT Z (440177.9750019712 3987889.796615894 0)
node,1,1,POINT Z (440181.9125629487 3987890.324584911 0)
node,1,1,POINT Z (440211.3959493425 3987771.4384148894 0)
node,1,1,POINT Z (440211.00146774267 3987811.6876100446 0)
node,1,1,POINT Z (440198.919652737 3987814.15414447 0)
node,1,1,POINT Z (440180.31849962065 3987808.357922963 0)
node,1,1,POINT Z (440188.5681760744 3987808.961463761 0)
node,1,1,POINT Z (440192.5970722763 3987808.5891171843 0)
node,1,1,POINT Z (440203.9707198568 3987808.2866763417 0)
node,1,1,POINT Z (440130.2858942021 3987753.172767767 0)
node,1,1,POINT Z (440141.9701178808 3987755.5372343343 0)
node,1,1,POINT Z (440139.38662740507 3987753.545531995 0)
node,1,1,POINT Z (440169.3846896448 3987755.2752876845 0)
node,1,1,POINT Z (440200.04969097854 3987838.783185274 0)
node,1,1,POINT Z (440204.8486558358 3987838.630520448 0)
node,1,1,POINT Z (440166.97283527313 3987860.386555382 0)
node,1,1,POINT Z (440171.71600826073 3987860.8635986485 0)
node,1,1,POINT Z (440175.6005033799 3987868.482661105 0)
node,1,1,POINT Z (440182.333628253 3987867.160569766 0)
node,1,1,POINT Z (440140.6127876928 3987760.6708828737 0)
node,1,1,POINT Z (440152.5524990063 3987760.0711713387 0)
node,1,1,POINT Z (440170.10769098334 3987758.544632885 0)
node,1,1,POINT Z (440166.1005275973 3987759.512349226 0)
node,1,1,POINT Z (440173.41973419016 3987759.4714598036 0)
node,1,1,POINT Z (440170.2030996354 3987758.5310030775 0)
node,1,1,POINT Z (440194.0552626476 3987758.3674453855 0)
node,1,1,POINT Z (440187.0768012406 3987891.476146551 0)
node,1,1,POINT Z (440189.33934927493 3987891.612444627 0)
node,1,1,POINT Z (440180.8070898203 3987892.5529013528 0)
node,1,1,POINT Z (440183.92831572297 3987892.3211946236 0)
node,1,1,POINT Z (440184.8006233988 3987892.1985263545 0)
node,1,1,POINT Z (440152.93413361453 3987890.7401369405 0)
node,1,1,POINT Z (440153.92910955736 3987890.7537667477 0)
node,1,1,POINT Z (440156.72322008165 3987890.9718436697 0)
node,1,1,POINT Z (440190.1264929357 3987865.2303397637 0)
node,1,1,POINT Z (440191.4282455393 3987865.399673436 0)
node,1,1,POINT Z (440183.5425881004 3987885.3350091423 0)
node,1,1,POINT Z (440188.01835572557 3987885.4502235954 0)
node,1,1,POINT Z (440178.12492486276 3987765.5288522597 0)
node,1,1,POINT Z (440205.2990065962 3987760.758625703 0)
node,1,1,POINT Z (440176.33927095775 3987768.046743393 0)
node,1,1,POINT Z (440178.2019413505 3987768.0255766828 0)
node,1,1,POINT Z (440173.75850875024 3987767.2852982916 0)
node,1,1,POINT Z (440171.3751816023 3987767.3037588336 0)
node,1,1,POINT Z (440167.7306050416 3987789.153314682 0)
node,1,1,POINT Z (440171.11727848 3987789.005147718 0)
node,1,1,POINT Z (440158.85293450765 3987782.75082618 0)
node,1,1,POINT Z (440164.99431118835 3987780.9552728906 0)
node,1,1,POINT Z (440161.0860223081 3987781.7983242753 0)
node,1,1,POINT Z (440164.2086367151 3987780.3444395643 0)
node,1,1,POINT Z (440164.0605131276 3987780.1666912604 0)
node,1,1,POINT Z (440166.3062619129 3987779.735893069 0)
node,1,1,POINT Z (440195.1522198664 3987821.314453313 0)
node,1,1,POINT Z (440197.6181414639 3987821.0498694484 0)
node,1,1,POINT Z (440199.4410248669 3987818.21653294 0)
node,1,1,POINT Z (440202.49706788827 3987818.1288636066 0)
node,1,1,POINT Z (440181.9519936461 3987806.7941518426 0)
node,1,1,POINT Z (440189.03949351143 3987807.830017222 0)
node,1,1,POINT Z (440195.38367858215 3987865.6584339626 0)
node,1,1,POINT Z (440176.50408344064 3987906.0019425023 0)
node,1,1,POINT Z (440184.63706571143 3987910.1080935616 0)
node,1,1,POINT Z (440187.9332333627 3987910.467853859 0)
node,1,1,POINT Z (440186.9675022643 3987904.8586759754 0)
node,1,1,POINT Z (440183.92114075273 3987906.790138172 0)
node,1,1,POINT Z (440191.34976636764 3987906.2345120613 0)
node,1,1,POINT Z (440186.3192718011 3987905.930240618 0)
node,1,1,POINT Z (440188.06552529335 3987906.049303356 0)
node,1,1,POINT Z (440150.22582166456 3987897.752328258 0)
node,1,1,POINT Z (440160.35938359797 3987898.850351291 0)
node,1,1,POINT Z (440175.90035914443 3987894.760930186 0)
node,1,1,POINT Z (440176.9211407536 3987895.0615103804 0)
node,1,1,POINT Z (440176.254734138 3987893.8341032676 0)
node,1,1,POINT Z (440177.9744952172 3987894.717551358 0)
node,1,1,POINT Z (440154.1758382451 3987892.3071923745 0)
node,1,1,POINT Z (440154.080588053 3987892.767568294 0)
node,1,1,POINT Z (440155.6919037765 3987892.6485055536 0)
node,1,1,POINT Z (440151.0665368857 3987883.201836403 0)
node,1,1,POINT Z (440189.2985522393 3987884.967139935 0)
node,1,1,POINT Z (440193.0212471839 3987884.959202418 0)
node,1,1,POINT Z (440172.3687128239 3987889.311606955 0)
node,1,1,POINT Z (440177.25822260324 3987889.5867741723 0)
node,1,1,POINT Z (440180.56022920646 3987888.3696884066 0)
node,1,1,POINT Z (440182.2218158655 3987888.3696884066 0)
node,1,1,POINT Z (440187.66609185655 3987881.1425471343 0)
node,1,1,POINT Z (440162.1937214611 3987872.2095344686 0)
node,1,1,POINT Z (440173.7568272623 3987873.120972628 0)
node,1,1,POINT Z (440172.10066732106 3987870.783251062 0)
node,1,1,POINT Z (440177.2124275472 3987871.6166902296 0)
node,1,1,POINT Z (440177.98739368 3987869.6786134355 0)
node,1,1,POINT Z (440189.51266673673 3987870.0754892305 0)
