id,length,azimuth,geometry,type,censored,f_set
,6.591,60,"LINESTRING (410118.1925005717 5081040.6120957825, 410118.54138753866 5081040.900605328, 410118.74794190365 5081041.097439487, 410118.99580714165 5081041.255392825, 410119.2776930986 5081041.449796934, 410119.76856347185 5081041.765703609, 410120.4003768237 5081042.149651723, 410120.8863870942 5081042.368356344, 410121.1852834099 5081042.5238796305, 410121.18528341 5081042.5238796305, 410121.18528341 5081042.5238796305, 410121.48417972703 5081042.679402918, 410121.9896304084 5081042.985589389, 410122.4566614115 5081043.213762006, 410122.4566614117 5081043.213762006, 410122.892394486 5081043.42664371, 410123.1232493645 5081043.588242124, 410123.4488762457 5081043.770495975, 410123.6724409702 5081043.860407876, 410123.8477175365 5081043.941143296)",fracture,0,1
,10.175,63,"LINESTRING (410120.30194424203 5081039.61852699, 410120.4201209909 5081039.708057623, 410120.6643411519 5081039.85507573, 410120.9535172628 5081040.009383991, 410120.9972581872 5081040.057985018, 410121.0118384953 5081040.073172838, 410121.09324521566 5081040.081070505, 410121.1467063454 5081040.124203917, 410121.3180249658 5081040.2293036375, 410121.4917736375 5081040.328935743, 410121.58290056325 5081040.392117078, 410121.6351466673 5081040.440718106, 410121.7129083106 5081040.486889081, 410121.7955300566 5081040.518479749, 410122.011804627 5081040.584091135, 410123.13084327494 5081041.186743871, 410123.80882760236 5081041.621723063, 410123.8677930504 5081041.648920305, 410123.8677930505 5081041.648920305, 410124.43578084995 5081041.910899174, 410124.43578084995 5081041.910899174, 410124.43578085053 5081041.910899174, 410124.43578085135 5081041.910899174, 410125.83733328327 5081042.59323391, 410125.8373332834 5081042.59323391, 410125.9132520739 5081042.630194374, 410126.2651046757 5081042.809262216, 410126.2651046759 5081042.809262216, 410126.45758357696 5081042.907220229, 410127.0748166205 5081043.17938598, 410127.36885283416 5081043.339769369, 410128.2424562955 5081043.816059435, 410128.81108831207 5081044.0614946205, 410128.9593214446 5081044.119815853, 410129.3092488393 5081044.271694062)",fracture,0,1
,0.791,60,"LINESTRING (410129.2872635528 5081044.319966104, 410129.30317371077 5081044.326370217, 410129.43503256264 5081044.401155834, 410129.43503256264 5081044.401155834, 410129.54739387176 5081044.464883144, 410129.8292798287 5081044.622836483, 410129.97508290986 5081044.710318331)",fracture,0,1
,2.997,79,"LINESTRING (410129.43503256474 5081044.401155836, 410129.5176257426 5081044.474603349, 410129.6688964393 5081044.590030788, 410129.8900311124 5081044.740693972, 410130.1518691457 5081044.881029437, 410130.36146107485 5081044.961828644, 410130.6554972884 5081045.049310492, 410130.6915062368 5081045.054519771, 410130.69150623697 5081045.054519771, 410130.77170333784 5081045.066121583, 410130.771703338 5081045.066121583, 410130.771703338 5081045.066121583, 410130.8724956333 5081045.080702824, 410131.36503667466 5081045.009042139, 410131.5919872076 5081044.986539962, 410131.7213214854 5081044.97371645, 410131.7400581886 5081044.972161537, 410131.74005818873 5081044.972161537, 410131.96456408984 5081044.953530341, 410132.19468572387 5081044.943437288, 410132.2438528215 5081044.938785603, 410132.2438528216 5081044.938785603, 410132.2438528222 5081044.938785603)",fracture,0,1
,0.508,67,"LINESTRING (410125.80143664166 5081043.242129635, 410125.80143664195 5081043.242129635, 410125.80143664207 5081043.242129635, 410125.80143664207 5081043.242129635, 410126.18329152913 5081043.393230501, 410126.26834332646 5081043.439401477)",fracture,0,1
,1.344,68,"LINESTRING (410125.9799405568 5081043.068454451, 410125.9799405571 5081043.068454451, 410125.9799405572 5081043.068454451, 410125.9799405572 5081043.068454451, 410126.3315246617 5081043.198826392, 410126.540509078 5081043.264437779, 410126.6887422105 5081043.376220141, 410126.7713639565 5081043.439401477, 410126.99735873233 5081043.50015276, 410127.2160633541 5081043.5560439415)",fracture,0,1
,0.191,21,"LINESTRING (410126.7938014064 5081044.549129022, 410126.7980945214 5081044.5584401265, 410126.8254325991 5081044.641061872, 410126.8436579843 5081044.70485072, 410126.8612758566 5081044.725506157)",fracture,0,1
,2.527,86,"LINESTRING (410124.71028123394 5081041.445666126, 410125.6091857147 5081041.457705025, 410125.6091857147 5081041.457705025, 410125.60918571474 5081041.457705025, 410125.78869799996 5081041.460109207, 410126.5204808054 5081041.498624092, 410126.77323473495 5081041.549174878, 410127.2222663295 5081041.632795064)",fracture,0,1
,0.363,66,"LINESTRING (410126.0051825891 5081041.146574644, 410126.1100565677 5081041.204948098, 410126.206343779 5081041.248277343, 410126.2845771381 5081041.266331195, 410126.335127924 5081041.291606588)",fracture,0,1
,0.419,56,"LINESTRING (410126.66250444227 5081042.006539131, 410126.8526716845 5081042.098011982, 410127.00796563306 5081042.236563626, 410127.00796563306 5081042.236563626, 410127.0079656332 5081042.236563626, 410127.00796563335 5081042.236563626)",fracture,0,1
