id,length,azimuth
,1.662,"99"
,2.874,"149"
,3.357,"141"
,0.898,"99"
,0.705,"113"
,2.199,"146"
,1.640,"108"
,4.288,"99"
,3.375,"100"
,1.100,"96"
,1.282,"139"
,0.506,"98"
,4.976,"119"
,0.655,"96"
,0.713,"122"
,2.685,"124"
,0.523,"106"
,0.765,"163"
,0.125,"120"
,0.212,"150"
,0.310,"113"
,2.643,"107"
,0.373,"95"
,1.346,"129"
,0.509,"121"
,0.611,"128"
,0.470,"122"
,0.997,"94"
,0.632,"141"
,2.148,"103"
,0.546,"128"
,1.404,"92"
,1.748,"104"
,2.453,"123"
,1.208,"122"
,1.368,"120"
,0.368,"123"
,2.118,"124"
,0.472,"125"
,3.453,"128"
,1.737,"132"
,1.135,"120"
,1.964,"99"
,1.619,"128"
,1.025,"94"
,0.627,"124"
,0.494,"101"
,1.930,"93"
,0.480,"93"
,1.251,"128"
,1.876,"119"
,0.637,"127"
,0.518,"143"
,0.160,"128"
,0.331,"134"
,1.272,"126"
,0.615,"114"
,1.003,"114"
,1.225,"107"
,0.933,"107"
,0.576,"112"
,0.381,"113"
,0.332,"123"
,0.257,"118"
,0.180,"131"
,0.363,"119"
,0.392,"122"
,0.142,"135"
,0.393,"162"
,1.556,"125"
,1.539,"128"
,1.128,"112"
,0.244,"100"
,0.374,"129"
,0.280,"118"
,4.099,"125"
,0.503,"125"
,0.546,"104"
,0.668,"117"
,0.402,"178"
,1.018,"127"
,1.053,"111"
,0.223,"133"
,1.097,"93"
,0.310,"116"
,1.021,"113"
,0.615,"96"
,0.651,"102"
,1.129,"127"
,0.213,"116"
,0.218,"122"
,0.166,"115"
,0.803,"96"
,0.702,"107"
,1.066,"120"
,1.660,"128"
,0.594,"121"
,14.342,"96"
,4.069,"121"
,5.045,"114"
,1.273,"133"
,0.538,"164"
,0.314,"124"
,0.821,"142"
,0.311,"130"
,1.457,"136"
,1.473,"134"
,0.915,"138"
,2.528,"126"
,0.351,"116"
,1.666,"140"
,1.330,"141"
,2.080,"118"
,0.810,"100"
,2.360,"131"
,1.669,"114"
,2.157,"98"
,0.663,"99"
,4.486,"101"
,2.887,"113"
,0.239,"121"
,0.902,"127"
,1.184,"127"
,4.120,"109"
,0.826,"102"
,0.147,"124"
,0.093,"145"
,0.079,"117"
,0.874,"97"
,3.489,"125"
,0.263,"132"
,0.850,"125"
,0.223,"135"
,0.574,"116"
,0.298,"133"
,1.580,"131"
,0.951,"105"
,1.030,"102"
,0.877,"105"
,0.304,"104"
,0.345,"113"
,0.532,"112"
,0.266,"102"
,3.571,"91"
,0.718,"97"
,0.327,"102"
,0.475,"102"
,0.468,"138"
,0.685,"137"
,0.782,"123"
,0.631,"119"
,1.857,"98"
,0.632,"112"
,2.032,"155"
,1.195,"95"
,1.899,"96"
,3.063,"123"
,5.358,"106"
,0.394,"115"
,1.036,"99"
,1.488,"101"
,0.321,"140"
,5.334,"99"
,2.625,"116"
,0.473,"170"
,0.949,"110"
,1.465,"97"
,2.339,"95"
,1.027,"128"
,0.148,"126"
,0.440,"129"
,0.453,"112"
,2.291,"99"
,2.397,"125"
,0.354,"132"
,0.537,"133"
,0.120,"153"
,0.433,"133"
,0.524,"130"
,0.385,"124"
,1.307,"126"
,1.226,"118"
,0.438,"136"
,1.532,"136"
,0.631,"94"
,0.807,"114"
,0.336,"106"
,1.495,"103"
,0.095,"174"
,0.397,"151"
,1.393,"101"
,1.881,"127"
,0.641,"102"
,0.300,"121"
,0.227,"122"
,0.509,"137"
,0.482,"131"
,1.360,"115"
,1.288,"111"
,0.478,"114"
,1.350,"110"
,1.099,"153"
,2.386,"117"
,0.664,"122"
,1.049,"118"
,0.732,"115"
,0.234,"119"
,0.587,"116"
,1.102,"98"
,0.813,"105"
,1.967,"107"
,0.813,"132"
,0.222,"133"
,0.636,"145"
,0.576,"106"
,0.301,"109"
,2.834,"115"
,0.153,"160"
,0.436,"124"
,2.376,"128"
,0.862,"118"
,1.542,"129"
,0.123,"135"
,0.567,"92"
,3.169,"103"
,0.599,"119"
,0.555,"153"
,0.487,"104"
,0.571,"103"
,4.722,"93"
,0.635,"108"
,0.085,"106"
,2.524,"125"
,0.335,"126"
,1.801,"102"
,3.113,"97"
,2.269,"92"
,1.080,"102"
,0.788,"130"
,0.052,"121"
,1.299,"124"
,1.620,"123"
,5.113,"96"
,3.539,"127"
,1.994,"124"
,0.253,"94"
,1.385,"107"
,2.326,"95"
,6.436,"148"
,5.542,"105"
,1.441,"123"
,0.629,"102"
,3.429,"123"
,0.437,"144"
,0.491,"92"
,0.529,"92"
,1.035,"92"
,0.425,"143"
,0.655,"170"
,0.783,"132"
,0.271,"119"
,0.353,"127"
,1.212,"98"
,0.841,"131"
,0.245,"130"
,1.992,"121"
,3.689,"97"
,0.692,"115"
,0.399,"105"
,0.616,"121"
,0.347,"109"
,0.395,"122"
,7.492,"132"
,6.197,"123"
,0.742,"96"
,0.197,"112"
,0.596,"137"
,0.243,"114"
,0.394,"106"
,0.716,"95"
,0.365,"119"
,0.644,"114"
,0.491,"95"
,0.830,"96"
,0.573,"108"
,0.898,"105"
,0.421,"97"
,0.536,"102"
,0.963,"101"
,0.700,"122"
,2.049,"128"
,0.361,"105"
,0.783,"101"
,0.922,"132"
,0.238,"172"
,0.879,"92"
,1.496,"102"
,0.263,"141"
,0.656,"120"
,0.561,"111"
,0.269,"140"
,0.130,"146"
,1.186,"99"
,0.232,"92"
,0.936,"136"
,1.048,"124"
,0.548,"125"
,0.512,"125"
,2.824,"96"
,1.214,"105"
,0.706,"111"
,0.193,"142"
,1.664,"93"
,1.492,"105"
,1.435,"137"
,0.565,"110"
,1.197,"99"
,0.959,"105"
,0.536,"104"
,0.633,"104"
,0.241,"99"
,4.910,"93"
,0.960,"96"
,0.535,"113"
,0.232,"113"
,0.421,"111"
